;text;text_name
269;verdaderos adoradores;
270;Padre;
271;Padre;
272;Dios;
273;Espíritu;
274;Mesías;
275;Cristo;
276;Jesús;
277;discípulos;
278;ciudad;
279;Cristo;
280;discípulos;
281;Rabí;
282;discípulos;
283;Jesús;
284;samaritanos;
285;ciudad;
286;samaritanos;
287;Salvador del mundo;
288;Cristo;
289;Galilea;
290;Jesús;
291;profeta;
292;Galilea;
293;Jerusalén;
294;fiesta;
295;fiesta;
296;Jesús;
297;Caná;
298;Galilea;
299;Capernaúm;
300;hijo;
301;Jesús;
302;Judea;
303;Galilea;
304;Jesús;
305;Señor;
306;Jesús;
307;Jesús;
308;Jesús;
309;Jesús;
310;Judea;
311;Galilea;
312;judíos;
313;Jesús;
314;Jerusalén;
315;Jerusalén;
316;Puerta de las Ovejas;
317;Betesda;
318;enfermos;
319;ciegos;
320;cojos;
321;paralíticos;
322;ángel;
323;enfermo;
324;Jesús;
325;enfermo;
326;Señor;
327;Jesús;
328;sábado;
329;judíos;
330;El que me sanó;
331;Jesús;
332;gente;
333;Jesús;
334;Templo;
335;judíos;
336;Jesús;
337;judíos;
338;Jesús;
339;sábado;
340;Jesús;
341;Padre;
342;judíos;
343;sábado;
344;Dios;
345;Padre;
346;Dios;
347;Jesús;
348;Hijo;
349;Padre;
350;Padre;
351;Hijo;
352;Padre;
353;Hijo;
354;Padre;
355;Hijo;
356;Padre;
357;Hijo;
358;Hijo;
359;Padre;
360;Hijo;
361;Padre;
362;Hijo de ;
363;Dios;
364;Padre;
365;Hijo;
366;Hijo del hombre;
367;la hora cuando todos los que están en los sepulcros oirán su voz;
368;Padre;
369;Juan;
370;Juan;
371;Padre;
372;Padre;
373;Padre;
374;Escrituras;
375;Dios;
376;Padre;
377;Dios;
378;Padre;
379;Moisés;
380;Moisés;
381;Jesús;
382;Mar de ;
383;Galilea;
384;Tiberias;
385;enfermos;
386;Jesús;
387;discípulos;
388;Pascua;
389;fiesta de los ;
390;judíos;
391;Jesús;
392;Felipe;
393;Felipe;
394;discípulos;
395;Andrés;
396;hermano;
397; de ;
398;Simón Pedro;
399;Jesús;
400;gente;
401;Jesús;
402;discípulos;
403;discípulos;
404;discípulos;
405;Jesús;
406;Profeta;
407;Jesús;
408;discípulos;
409;mar;
410;mar;
411;Capernaúm;
412;Jesús;
413;mar;
414;Jesús;
415;mar;
416;gente;
417;mar;
418;Jesús;
419;discípulos;
420;Tiberias;
421;Señor;
422;gente;
423;Jesús;
424;discípulos;
425;Capernaúm;
426;Jesús;
427;mar;
428;Rabí;
429;Jesús;
430;Hijo del hombre;
431;Dios;
432;Padre;
433;Dios;
434;Jesús;
435;Dios;
436;cielo;
437;Jesús;
438;Moisés;
439;cielo;
440;Padre;
441;pan del ;
442;cielo;
443;pan de ;
444;Dios;
445;cielo;
446;Señor;
447;Jesús;
448;pan de vida;
449;Padre;
450;cielo;
451;Padre;
452;día final;
453;que me ha enviado;
454;Hijo;
455;judíos;
456;pan que descendió del ;
457;cielo;
458;Jesús;
459;hijo de ;
460;José;
461;padre;
462;madre;
463;cielo;
464;Jesús;
465;Padre;
466;día final;
467;Profetas;
468;Dios;
469;Padre;
470;Padre;
471;Dios;
472;Padre;
473;pan de vida;
474;pan que desciende del ;
475;cielo;
476;pan vivo que descendió del ;
477;cielo;
478;pan;
479;judíos;
480;Jesús;
481;Hijo del hombre;
482;día final;
483;Padre viviente;
484;Padre;
485;pan que descendió del ;
486;cielo;
487;Capernaúm;
488;sinagoga;
489;discípulos;
490;Jesús;
491;discípulos;
492;Hijo del hombre;
493;espíritu;
494;Jesús;
495;quién lo había de entregar;
496;Padre;
497;discípulos;
498;Jesús;
499;doce;
500;Simón Pedro;
501;Señor;
502;Cristo;
503;Hijo del ;
504;Dios viviente;
505;Jesús;
506;doce;
507;diablo;
508;Judas Iscariote;
509;hijo de ;
510;Simón;
511;doce;
512;Jesús;
513;Galilea;
514;Judea;
515;judíos;
516;fiesta de los ;
517;judíos;
518;la de los Tabernáculos;
519;hermanos;
520;Judea;
521;discípulos;
522;hermanos;
523;Jesús;
524;fiesta;
525;fiesta;
526;Galilea;
527;hermanos;
528;fiesta;
529;judíos;
530;fiesta;
531;judíos;
532;Jesús;
533;Templo;
534;judíos;
535;Jesús;
536;aquel que me envió;
537;Dios;
538;Dios;
539;del que lo envió;
540;Moisés;
541;Ley;
542;Jesús;
543;Moisés;
544;Moisés;
545;sábado;
546;sábado;
547;Ley;
548;Moisés;
549;sábado;
550;Jerusalén;
551;Cristo;
552;Cristo;
553;Jesús;
554;Templo;
555;el que me envió;
556;a quien vosotros no conocéis;
557;Cristo;
558;fariseos;
559;gente;
560;principales sacerdotes;
561;fariseos;
562;guardias;
563;Jesús;
564;al que me envió;
565;judíos;
566;Jesús;
567;Escritura;
568;Espíritu;
569;Espíritu Santo;
570;Jesús;
571;Profeta;
572;Cristo;
573;Galilea;
574;Cristo;
575;Escritura;
576;David;
577;Belén;
578;David;
579;Cristo;
580;gente;
581;guardias;
582;principales sacerdotes;
583;fariseos;
584;guardias;
585;hombre;
586;fariseos;
587;fariseos;
588;gente;
589;Ley;
590;Nicodemo;
591;Ley;
592;galileo;
593;Galilea;
594;profeta;
595;Jesús;
596;Monte de los Olivos;
597;Templo;
598;escribas;
599;fariseos;
600;Maestro;
601;Ley;
602;Moisés;
603;Jesús;
604;Jesús;
605;Jesús;
606;Señor;
607;Jesús;
608;Jesús;
609;luz del mundo;
610;la luz de la vida;
611;fariseos;
612;Jesús;
613;Padre;
614;Ley;
615;Padre;
616;Jesús;
617;Padre;
618;Padre;
619;Jesús;
620;Templo;
621;Jesús;
622;judíos;
623;Jesús;
624;Padre;
625;Jesús;
626;Hijo del hombre;
627;Padre;
628;Padre;
629;Jesús;
630;judíos;
631;discípulos;
632;Descendientes de ;
633;Abraham;
634;Jesús;
635;hijo;
636;Hijo;
637;Abraham;
638;Padre;
639;Abraham;
640;Jesús;
641;Abraham;
642;Abraham;
643;Dios;
644;Abraham;
645;Dios;
646;Jesús;
647;Dios;
648;Dios;
649;padre;
650;diablo;
651;padre;
652;padre de mentira;
653;Dios;
654;Dios;
655;Dios;
656;judíos;
657;samaritano;
658;demonio;
659;Jesús;
660;demonio;
661;Padre;
662;judíos;
663;demonio;
664;Abraham;
665;profetas;
666;padre Abraham;
667;profetas;
668;Jesús;
669;Padre;
670;Dios;
671;Abraham;
672;judíos;
673;Abraham;
674;Jesús;
675;Abraham;
676;Jesús;
677;Templo;
678;ciego;
679;Jesús;
680;ciego;
681;discípulos;
682;Rabí;
683;ciego;
684;Jesús;
685;Dios;
686;luz;
687;ciego;
688;Siloé;
689;ciego;
690;Jesús;
691;fariseos;
692;ciego;
693;sábado;
694;Jesús;
695;fariseos;
696;fariseos;
697;Dios;
698;sábado;
699;ciego;
700;profeta;
701;judíos;
702;ciego;
703;ciego;
704;ciego;
705;judíos;
706;judíos;
707;Jesús;
708;Mesías;
709;sinagoga;
710;ciego;
711;Dios;
712;hombre;
713;ciego;
714;discípulos;
715;discípulo;
716;discípulos de ;
717;Moisés;
718;Dios;
719;Moisés;
720;Dios;
721;Dios;
722;ciego;
723;Dios;
724;Jesús;
725;Hijo de ;
726;Dios;
727;Señor;
728;Jesús;
729;Señor;
730;Jesús;
731;fariseos;
732;ciegos;
733;Jesús;
734;ciegos;
735;pastor de las ovejas;
736;Jesús;
737;Jesús;
738;puerta de las ovejas;
739;puerta;
740;buen pastor;
741;buen pastor;
742;buen pastor;
743;Padre;
744;Padre;
745;pastor;
746;Padre;
747;Padre;
748;judíos;
749;demonio;
750;ciegos;
751;Jerusalén;
752;fiesta de la Dedicación;
753;Jesús;
754;Templo;
755;judíos;
756;Cristo;
757;Jesús;
758;Padre;
759;Padre;
760;Padre;
761;Padre;
762;judíos;
763;Jesús;
764;Padre;
765;judíos;
766;hombre;
767;Dios;
768;Jesús;
769;Ley;
770;Dios;
771;Escritura;
772;Padre;
773;Hijo de ;
774;Dios;
775;Padre;
776;Padre;
777;Padre;
778;Jordán;
779;Juan;
780;Juan;
781;Juan;
782;enfermo;
783;Lázaro;
784;Betania;
785;aldea de ;
786;María;
787; y de ;
788;Marta;
789;hermana;
790;María;
791;hermano;
792;Lázaro;
793;enfermo;
794;Señor;
795;hermanas;
796;Jesús;
797;Señor;
798;enfermo;
799;Jesús;
800;Dios;
801;Hijo de ;
802;Dios;
803;Jesús;
804;Marta;
805;hermana;
806;Lázaro;
807;enfermo;
808;discípulos;
809;Judea;
810;discípulos;
811;Rabí;
812;judíos;
813;Jesús;
814;Lázaro;
815;discípulos;
816;Señor;
817;Jesús;
818;Lázaro;
819;Jesús;
820;Lázaro;
821;Tomás;
822;Dídimo;
823;condiscípulos;
824;Jesús;
825;Lázaro;
826;Betania;
827;Jerusalén;
828;judíos;
829;Marta;
830;María;
831;hermano;
832;Marta;
833;Jesús;
834;María;
835;Marta;
836;Jesús;
837;Señor;
838;hermano;
839;Dios;
840;Dios;
841;Jesús;
842;hermano;
843;Marta;
844;día final;
845;Jesús;
846;resurrección;
847;vida;
848;Señor;
849;Cristo;
850;Hijo de ;
851;Dios;
852;María;
853;hermana;
854;Maestro;
855;Jesús;
856;aldea;
857;Marta;
858;judíos;
859;María;
860;María;
861;Jesús;
862;Señor;
863;hermano;
864;Jesús;
865;judíos;
866;Señor;
867;Jesús;
868;judíos;
869;ciego;
870;Lázaro;
871;Jesús;
872;Jesús;
873;Marta;
874;hermana;
875;Señor;
876;Jesús;
877;Dios;
878;Jesús;
879;Padre;
880;Lázaro;
881;Jesús;
882;judíos;
883;María;
884;Jesús;
885;fariseos;
886;Jesús;
887;sacerdotes;
888;fariseos;
889;Concilio;
890;lugar santo;
891;nación;
892;Caifás;
893;sumo ;
894;sacerdote;
895;hombre;
896;sumo ;
897;sacerdote;
898;Jesús;
899;nación;
900;Dios;
901;Jesús;
902;judíos;
903;Efraín;
904;discípulos;
905;Pascua de los ;
906;judíos;
907;aquella región a ;
908;Jerusalén;
909;Pascua;
910;Jesús;
911;Templo;
912;sacerdotes;
913;fariseos;
914;Pascua;
915;Jesús;
916;Betania;
917;Lázaro;
918;Marta;
919;Lázaro;
920;María;
921;Jesús;
922;discípulos;
923;Judas Iscariote;
924;hijo de ;
925;Simón;
926;ladrón;
927;Jesús;
928;judíos;
929;Jesús;
930;Lázaro;
931;sacerdotes;
932;Lázaro;
933;judíos;
934;Jesús;
935;fiesta;
936;Jesús;
937;Jerusalén;
938;Señor;
939;Rey de ;
940;Israel;
941;Jesús;
942;hija de Sión;
943;Rey;
944;discípulos;
945;cuando ;
946;Jesús;
947; fue glorificado;
948;gente;
949;Lázaro;
950;gente;
951;fariseos;
952;Felipe;
953;Betsaida;
954;Galilea;
955;Señor;
956;Jesús;
957;Felipe;
958;Andrés;
959;Andrés;
960;Felipe;
961;Jesús;
962;Jesús;
963;Hijo del hombre;
964;Padre;
965;Padre;
966;Padre;
967;una voz del ;
968;cielo;
969;ángel;
970;Jesús;
971;príncipe de este mundo;
972;cuando sea levantado de la tierra;
973;gente;
974;Ley;
975;Cristo;
976;Hijo del hombre;
977;Hijo del hombre;
978;Jesús;
979;Jesús;
980;profeta;
981;Isaías;
982;Señor;
983;Señor;
984;Isaías;
985;Isaías;
986;fariseos;
987;sinagoga;
988;Dios;
989;Jesús;
990;luz;
991;Padre;
992;Padre;
993;Pascua;
994;Jesús;
995;hora;
996;Padre;
997;diablo;
998;Judas Iscariote;
999;hijo de ;
1000;Simón;
1001;Jesús;
1002;Padre;
1003;Dios;
1004;Dios;
1005;discípulos;
1006;Simón Pedro;
1007;Señor;
1008;Jesús;
1009;Pedro;
1010;Jesús;
1011;Simón Pedro;
1012;Señor;
1013;Jesús;
1014;Maestro;
1015;Señor;
1016;Señor;
1017;Maestro;
1018;señor;
1019;Escritura;
1020;que me envió;
1021;Jesús;
1022;discípulos;
1023;discípulos;
1024;Jesús;
1025;Jesús;
1026;Simón Pedro;
1027;Jesús;
1028;Señor;
1029;Jesús;
1030;Judas Iscariote;
1031;hijo de ;
1032;Simón;
1033;Satanás;
1034;Jesús;
1035;Judas;
1036;Jesús;
1037;Jesús;
1038;Hijo del hombre;
1039;Dios;
1040;Dios;
1041;Dios;
1042;Hijitos;
1043;judíos;
1044;discípulos;
1045;Simón Pedro;
1046;Señor;
1047;Jesús;
1048;Pedro;
1049;Señor;
1050;Jesús;
1051;Dios;
1052;casa de mi ;
1053;Padre;
1054;Tomás;
1055;Señor;
1056;Jesús;
1057;camino;
1058;verdad;
1059;vida;
1060;Padre;
1061;Padre;
1062;Felipe;
1063;Señor;
1064;Padre;
1065;Jesús;
1066;Felipe;
1067;Padre;
1068;Padre;
1069;Padre;
1070;Padre;
1071;Padre;
1072;Padre;
1073;Padre;
1074;Padre;
1075;Padre;
1076;Padre;
1077;Hijo;
1078;Padre;
1079;Consolador;
1080;Espíritu de verdad;
1081;Padre;
1082;Padre;
1083;Judas;
1084;Iscariote;
1085;Señor;
1086;Jesús;
1087;Padre;
1088;Padre;
1089;Consolador;
1090;Espíritu Santo;
1091;Padre;
1092;Padre;
1093;Padre;
1094;príncipe de este mundo;
1095;Padre;
1096;Padre;
1097;vid verdadera;
1098;Padre;
1099;labrador;
1100;vid;
1101;vid;
1102;Padre;
1103;discípulos;
1104;Padre;
1105;Padre;
1106;amado;
1107;siervo;
1108;Padre;
1109;Padre;
1110;siervo;
1111;señor;
1112;que me ha enviado;
1113;Padre;
1114;Padre;
1115;Ley;
1116;Consolador;
1117;Padre;
1118;Espíritu de verdad;
1119;Padre;
1120;sinagogas;
1121;Dios;
1122;Padre;
1123;Consolador;
1124;Padre;
1125;príncipe de este mundo;
1126;Espíritu de verdad;
1127;Padre;
1128;Padre;
1129;discípulos;
1130;Padre;
1131;Jesús;
1132;día;
1133;Padre;
1134;Padre;
1135;Padre;
1136;Padre;
1137;Dios;
1138;Padre;
1139;Padre;
1140;discípulos;
1141;Dios;
1142;Jesús;
1143;Padre;
1144;Jesús;
1145;cielo;
1146;Padre;
1147;Hijo;
1148;Hijo;
1149;único Dios verdadero;
1150;Jesucristo;
1151;Padre;
1152;antes que el mundo existiera;
1153;Padre santo;
1154;hijo de perdición;
1155;Escritura;
1156;Padre;
1157;Padre;
1158;antes de la fundación del mundo;
1159;Padre justo;
1160;Jesús;
1161;discípulos;
1162;Cedrón;
1163;discípulos;
1164;Judas;
1165;que lo entregaba;
1166;Jesús;
1167;discípulos;
1168;Judas;
1169;soldados;
1170;guardias;
1171;sacerdotes;
1172;fariseos;
1173;Jesús;
1174;Jesús nazareno;
1175;Jesús;
1176;Judas;
1177;el que lo entregaba;
1178;Jesús nazareno;
1179;Jesús;
1180;Simón Pedro;
1181;siervo del ;
1182;Sumo sacerdote;
1183;siervo;
1184;Malco;
1185;Jesús;
1186;Pedro;
1187;Padre;
1188;soldados;
1189;guardias de los ;
1190;judíos;
1191;Jesús;
1192;Anás;
1193;suegro de ;
1194;Caifás;
1195;sumo sacerdote;
1196;Caifás;
1197;judíos;
1198;Jesús;
1199;Simón Pedro;
1200;discípulo;
1201;discípulo;
1202;Sumo sacerdote;
1203;Jesús;
1204;Sumo sacerdote;
1205;Pedro;
1206;discípulo;
1207;Sumo sacerdote;
1208;Pedro;
1209;Pedro;
1210;discípulos;
1211;hombre;
1212;guardias;
1213;Pedro;
1214;Sumo sacerdote;
1215;Jesús;
1216;discípulos;
1217;Jesús;
1218;sinagoga;
1219;Templo;
1220;judíos;
1221;Jesús;
1222;guardias;
1223;Sumo sacerdote;
1224;Jesús;
1225;Anás;
1226;Caifás;
1227;sumo sacerdote;
1228;Pedro;
1229;discípulos;
1230;Sumo sacerdote;
1231;quien ;
1232;Pedro;
1233; había cortado la oreja;
1234;Pedro;
1235;Jesús;
1236;Caifás;
1237;pretorio;
1238;pretorio;
1239;Pascua;
1240;Pilato;
1241;hombre;
1242;malhechor;
1243;Pilato;
1244;ley;
1245;judíos;
1246;Jesús;
1247;Pilato;
1248;Jesús;
1249;Rey de los ;
1250;judíos;
1251;Jesús;
1252;Pilato;
1253;judío;
1254;nación;
1255;sacerdotes;
1256;Jesús;
1257;Reino;
1258;Reino;
1259;judíos;
1260;Reino;
1261;Pilato;
1262;rey;
1263;Jesús;
1264;rey;
1265;Pilato;
1266;judíos;
1267;Pascua;
1268;Rey de los ;
1269;judíos;
1270;Barrabás;
1271;Barrabás;
1272;ladrón;
1273;Pilato;
1274;Jesús;
1275;soldados;
1276;Rey de los ;
1277;judíos;
1278;Pilato;
1279;Jesús;
1280;Pilato;
1281;sacerdotes;
1282;guardias;
1283;Pilato;
1284;judíos;
1285;ley;
1286;ley;
1287;Hijo de ;
1288;Dios;
1289;Pilato;
1290;pretorio;
1291;Jesús;
1292;Jesús;
1293;Pilato;
1294;Jesús;
1295;Pilato;
1296;judíos;
1297;César;
1298;César;
1299;Pilato;
1300;Jesús;
1301;Enlosado;
1302;Gábata;
1303;Pascua;
1304;judíos;
1305;Pilato;
1306;Rey;
1307;sacerdotes;
1308;César;
1309;Jesús;
1310;Calavera;
1311;Gólgota;
1312;Jesús;
1313;Pilato;
1314;Jesús Nazareno;
1315;Rey de los ;
1316;judíos;
1317;judíos;
1318;Jesús;
1319;Pilato;
1320;sacerdotes;
1321;judíos;
1322;Rey de los ;
1323;judíos;
1324;judíos;
1325;Pilato;
1326;soldados;
1327;Jesús;
1328;soldado;
1329;Escritura;
1330;soldados;
1331;Jesús;
1332;madre;
1333;hermana de su madre;
1334;María;
1335;mujer de ;
1336;Cleofas;
1337;María Magdalena;
1338;Jesús;
1339;madre;
1340;discípulo a quien él amaba;
1341;Mujer;
1342;hijo;
1343;discípulo;
1344;madre;
1345;discípulo;
1346;Jesús;
1347;Escritura;
1348;Jesús;
1349;judíos;
1350;Pascua;
1351;sábado;
1352;sábado;
1353;Pilato;
1354;soldados;
1355;Jesús;
1356;soldados;
1357;Escritura;
1358;José de ;
1359;Arimatea;
1360;Jesús;
1361;judíos;
1362;Pilato;
1363;cuerpo;
1364;Jesús;
1365;Pilato;
1366;cuerpo;
1367;Jesús;
1368;Nicodemo;
1369;Jesús;
1370;cuerpo;
1371;Jesús;
1372;sepulcro;
1373;Pascua;
1374;judíos;
1375;sepulcro;
1376;Jesús;
1377;día;
1378;María Magdalena;
1379;sepulcro;
1380;sepulcro;
1381;Simón Pedro;
1382;quien amaba ;
1383;Jesús;
1384;sepulcro;
1385;Señor;
1386;Pedro;
1387;otro discípulo;
1388;sepulcro;
1389;otro discípulo;
1390;Pedro;
1391;sepulcro;
1392;Simón Pedro;
1393;sepulcro;
1394;Jesús;
1395;otro discípulo;
1396;sepulcro;
1397;Escritura;
1398;discípulos;
1399;María;
1400;sepulcro;
1401;sepulcro;
1402;ángeles;
1403;cuerpo;
1404;Jesús;
1405;Señor;
1406;Jesús;
1407;Jesús;
1408;Jesús;
1409;jardinero;
1410;Señor;
1411;Jesús;
1412;María;
1413;Raboni;
1414;Maestro;
1415;Jesús;
1416;Padre;
1417;Padre;
1418;Padre;
1419;Dios;
1420;Dios;
1421;María Magdalena;
1422;discípulos;
1423;Señor;
1424;discípulos;
1425;judíos;
1426;Jesús;
1427;discípulos;
1428;Señor;
1429;Jesús;
1430;Padre;
1431;Espíritu Santo;
1432;Tomás;
1433;doce;
1434;Dídimo;
1435;Jesús;
1436;discípulos;
1437;Señor;
1438;discípulos;
1439;Tomás;
1440;Jesús;
1441;Tomás;
1442;Tomás;
1443;Señor;
1444;Dios;
1445;Jesús;
1446;Tomás;
1447;Jesús;
1448;discípulos;
1449;libro;
1450;Jesús;
1451;Cristo;
1452;Hijo de ;
1453;Dios;
1454;Jesús;
1455;discípulos;
1456;Mar de ;
1457;Tiberias;
1458;Simón Pedro;
1459;Tomás;
1460;Dídimo;
1461;Natanael;
1462;el de ;
1463;Caná;
1464; de ;
1465;Galilea;
1466;hijos de ;
1467;Zebedeo;
1468;discípulos;
1469;Simón Pedro;
1470;Jesús;
1471;discípulos;
1472;Jesús;
1473;Hijitos;
1474;discípulo a quien ;
1475;Jesús;
1476; amaba;
1477;Pedro;
1478;Señor;
1479;Simón Pedro;
1480;Señor;
1481;mar;
1482;discípulos;
1483;Jesús;
1484;Simón Pedro;
1485;Jesús;
1486;discípulos;
1487;Señor;
1488;Jesús;
1489;Jesús;
1490;discípulos;
1491;Jesús;
1492;Simón Pedro;
1493;Simón;
1494;hijo;
1495;Jonás;
1496;Señor;
1497;Simón;
1498;hijo;
1499;Jonás;
1500;Pedro;
1501;Señor;
1502;Simón;
1503;hijo;
1504;Jonás;
1505;Pedro;
1506;Señor;
1507;Jesús;
1508;Dios;
1509;Pedro;
1510;discípulo a quien amaba ;
1511;Jesús;
1512;Señor;
1513;Pedro;
1514;Jesús;
1515;Señor;
1516;Jesús;
1517;discípulo;
1518;Jesús;
1519;discípulo;
1520;Jesús;
