,Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
187,,,b.GEN.007.020,,,187,,,
188,tierra,tierra,b.GEN.007.021,0.0,-90.0,188,,,
189,tierra,tierra,b.GEN.007.022,0.0,-90.0,189,,,
190,tierra,tierra,b.GEN.007.023,0.0,-90.0,190,,,
191,,,b.GEN.007.023,,,191,,,
192,tierra,tierra,b.GEN.007.024,0.0,-90.0,192,,,
193,tierra,tierra,b.GEN.008.001,0.0,-90.0,193,,,
194,,,b.GEN.008.002,,,194,,,
195,tierra,tierra,b.GEN.008.003,0.0,-90.0,195,,,
196,Ararat,Ararat,b.GEN.008.004,44.2990761,39.702439299999995,196,,,
197,,,b.GEN.008.005,,,197,,,
198,,,b.GEN.008.006,,,198,,,
199,tierra,tierra,b.GEN.008.007,0.0,-90.0,199,,,
200,tierra,tierra,b.GEN.008.008,0.0,-90.0,200,,,
201,tierra,tierra,b.GEN.008.009,0.0,-90.0,201,,,
202,,,b.GEN.008.010,,,202,,,
203,tierra,tierra,b.GEN.008.011,0.0,-90.0,203,,,
204,,,b.GEN.008.012,,,204,,,
205,tierra,tierra,b.GEN.008.013,0.0,-90.0,205,,,
206,tierra,tierra,b.GEN.008.014,0.0,-90.0,206,,,
207,,,b.GEN.008.015,,,207,,,
208,,,b.GEN.008.016,,,208,,,
209,tierra,tierra,b.GEN.008.017,0.0,-90.0,209,,,
210,,,b.GEN.008.018,,,210,,,
211,tierra,tierra,b.GEN.008.019,0.0,-90.0,211,,,
212,,,b.GEN.008.020,,,212,,,
213,tierra,tierra,b.GEN.008.021,0.0,-90.0,213,,,
214,tierra,tierra,b.GEN.008.022,0.0,-90.0,214,,,
215,tierra,tierra,b.GEN.009.001,0.0,-90.0,215,,,
216,,,b.GEN.009.002,,,216,,,
217,,,b.GEN.009.003,,,217,,,
218,,,b.GEN.009.004,,,218,,,
219,,,b.GEN.009.005,,,219,,,
220,,,b.GEN.009.006,,,220,,,
221,tierra,tierra,b.GEN.009.007,0.0,-90.0,221,,,
222,,,b.GEN.009.008,,,222,,,
223,,,b.GEN.009.009,,,223,,,
224,,,b.GEN.009.010,,,224,,,
225,tierra,tierra,b.GEN.009.011,0.0,-90.0,225,,,
226,,,b.GEN.009.012,,,226,,,
227,tierra,tierra,b.GEN.009.013,0.0,-90.0,227,,,
228,tierra,tierra,b.GEN.009.014,0.0,-90.0,228,,,
229,,,b.GEN.009.015,,,229,,,
230,tierra,tierra,b.GEN.009.016,0.0,-90.0,230,,,
231,tierra,tierra,b.GEN.009.017,0.0,-90.0,231,,,
232,Canaán,Canaán,b.GEN.009.018,35.289528,32.055556,232,,,
233,tierra,tierra,b.GEN.009.019,0.0,-90.0,233,,,
234,,,b.GEN.009.020,,,234,,,
235,,,b.GEN.009.021,,,235,,,
236,Canaán,Canaán,b.GEN.009.022,35.289528,32.055556,236,,,
237,,,b.GEN.009.023,,,237,,,
238,,,b.GEN.009.024,,,238,,,
239,,,b.GEN.009.025,,,239,,,
240,,,b.GEN.009.026,,,240,,,
241,,,b.GEN.009.027,,,241,,,
242,,,b.GEN.009.028,,,242,,,
243,,,b.GEN.009.029,,,243,,,
244,,,b.GEN.010.001,,,244,,,
245,,,b.GEN.010.002,,,245,,,
246,,,b.GEN.010.003,,,246,,,
247,,,b.GEN.010.004,,,247,,,
248,,,b.GEN.010.005,,,248,,,
249,,,b.GEN.010.006,,,249,,,
250,,,b.GEN.010.007,,,250,,,
251,tierra,tierra,b.GEN.010.008,0.0,-90.0,251,,,
252,,,b.GEN.010.009,,,252,,,
253,tierra,tierra,b.GEN.010.010,0.0,-90.0,253,,,
254,,,b.GEN.010.010,,,254,,,
255,,,b.GEN.010.010,,,255,,,
256,,,b.GEN.010.010,,,256,,,
257,,,b.GEN.010.010,,,257,,,
258,,,b.GEN.010.010,,,258,,,
259,Asiria,Asiria,b.GEN.010.011,43.3275,36.099167,259,,,
260,,,b.GEN.010.011,,,260,,,
261,Nínive,Nínive,b.GEN.010.011,42.2362435,36.229574,261,,,
262,,,b.GEN.010.011,,,262,,,
263,,,b.GEN.010.011,,,263,,,
264,Nínive,Nínive,b.GEN.010.012,42.2362435,36.229574,264,,,
265,,,b.GEN.010.012,,,265,,,
266,,,b.GEN.010.012,,,266,,,
267,,,b.GEN.010.013,,,267,,,
268,,,b.GEN.010.014,,,268,,,
269,,,b.GEN.010.015,,,269,,,
270,,,b.GEN.010.016,,,270,,,
271,,,b.GEN.010.017,,,271,,,
272,,,b.GEN.010.018,,,272,,,
