	weight	source	target
917	4	#per186	#per193
2407	4	#per109	#per125
841	4	#pla136	#pla84
1427	4	#per126	#per135
1855	4	#per2	#pla420
2694	4	#per160	#per172
437	4	#per191	#per285
557	4	#per3	#pla5
1268	4	#per14	#per72
398	4	#per2	#per395
1441	4	#per330	#per87
420	4	#per140	#per218
1356	4	#per14	#pla420
1168	4	#org87	#per3
2140	4	#per14	#per227
2367	4	#org65	#org94
1935	4	#org0	#per104
1945	4	#per172	#per205
2308	4	#per172	#per211
273	4	#per152	#pla5
2371	4	#org53	#per136
1198	4	#per2	#pla116
1991	4	#org63	#per3
2073	4	#per144	#per233
2013	4	#per260	#per262
1307	4	#per233	#per330
443	4	#per120	#per135
1204	4	#per144	#per87
457	4	#org88	#per125
458	4	#per191	#per262
931	4	#org88	#pla134
1928	3	#org88	#per121
1354	3	#org4	#org79
2439	3	#per131	#pla
857	3	#per16	#per181
490	3	#per134	#per137
677	3	#per329	#per360
489	3	#per131	#per135
527	3	#org4	#pla113
242	3	#org83	#per141
2432	3	#per197	#per205
34	3	#per120	#per121
97	3	#per136	#pla84
2650	3	#per137	#pla17
134	3	#pla113	#pla17
216	3	#per182	#per354
486	3	#per125	#per135
2296	3	#per360	#pla16
1375	3	#per104	#per217
867	3	#pla103	#pla17
838	3	#per3	#pla83
901	3	#per104	#per235
192	3	#per122	#per4
1993	3	#org89	#per132
1306	3	#per156	#pla107
1303	3	#per180	#per211
2006	3	#per197	#per214
1285	3	#per197	#per211
2012	3	#org86	#per14
865	3	#org0	#per3
1894	3	#org0	#per135
482	3	#per217	#per230
1914	3	#per154	#per209
822	3	#pla147	#pla5
1396	3	#per14	#per267
1862	3	#org91	#per181
528	3	#org84	#pla115
1385	3	#per146	#pla115
2489	3	#pla102	#pla17
223	3	#org65	#per4
65	3	#org43	#per122
2550	3	#per104	#per230
185	3	#org4	#per135
2252	3	#per136	#per156
2692	3	#per230	#per235
2671	3	#per193	#per5
2556	3	#per156	#per3
2697	3	#per156	#pla84
2455	3	#per277	#per387
2461	3	#per329	#per395
47	3	#per14	#pla116
177	3	#per16	#pla110
2315	3	#per277	#per321
40	3	#per6	#pla146
2456	3	#per360	#per366
2666	3	#per16	#per5
2558	3	#per2	#pla17
1982	3	#per152	#per2
114	3	#per141	#per148
2316	3	#org65	#pla84
2599	3	#pla102	#pla103
2408	3	#per131	#per16
210	3	#per360	#pla17
2404	3	#per122	#per181
2468	3	#org83	#pla78
194	3	#per137	#pla41
299	3	#per180	#per182
2405	3	#per154	#per166
2631	3	#org78	#per140
2632	3	#per180	#per279
2637	3	#per3	#per72
57	3	#org88	#per120
58	3	#per321	#per334
159	3	#per109	#per128
88	3	#per172	#pla84
2495	3	#per176	#per177
2498	3	#org88	#per181
80	3	#pla41	#pla79
1988	3	#per137	#pla84
1091	3	#per193	#per6
1967	3	#org83	#per134
2084	3	#per72	#pla5
2071	3	#per122	#per157
2157	3	#org63	#per131
1140	3	#per197	#per433
1000	3	#per329	#per366
377	3	#per134	#per148
1108	3	#per122	#per16
1191	3	#org13	#org88
1069	3	#per134	#per156
1514	3	#per277	#per334
340	3	#org86	#per104
332	3	#per132	#per173
1641	3	#org88	#per149
910	3	#per2	#per72
1835	3	#per277	#per380
749	3	#pla113	#pla16
596	3	#per185	#per5
1025	3	#per334	#per380
1052	3	#per2	#per227
2098	3	#per134	#pla5
2090	3	#per380	#per387
472	3	#per334	#per387
986	3	#org79	#pla16
936	3	#per146	#pla134
1044	3	#per135	#per161
1043	3	#per3	#pla78
2052	3	#per169	#per179
929	3	#per134	#pla115
2086	3	#per124	#per135
1182	3	#per159	#pla136
1177	3	#per152	#per3
2113	3	#per156	#pla78
1117	3	#per150	#pla84
365	3	#per321	#per380
1100	3	#per109	#per5
407	3	#per180	#per214
753	3	#per180	#per259
1208	3	#per145	#per169
1785	3	#per2	#pla133
1717	3	#per366	#per395
1698	3	#org4	#per16
1722	3	#pla103	#pla16
636	3	#pla110	#pla84
1707	3	#org86	#per4
1544	3	#per139	#pla84
1542	3	#per131	#per279
1535	3	#pla102	#pla16
815	3	#per137	#pla107
722	3	#per217	#per235
1420	3	#per136	#pla78
1417	3	#org85	#per104
1329	3	#per2	#pla112
1328	3	#per4	#pla133
475	3	#per202	#per232
580	3	#per227	#per3
869	3	#per124	#per5
1686	3	#org64	#pla78
1272	3	#per166	#per209
1674	3	#per321	#per387
1437	3	#per132	#per157
656	3	#per125	#per161
573	3	#org83	#pla84
789	3	#per182	#per433
566	3	#org78	#per143
795	3	#per227	#pla101
562	3	#org83	#per156
560	3	#org86	#org88
792	3	#per14	#per431
572	3	#per3	#per385
746	3	#per395	#pla17
1727	3	#pla107	#pla84
645	3	#per132	#per141
669	3	#per135	#pla84
707	3	#per132	#pla136
1738	3	#per124	#per161
1066	2	#424	#per277
2196	2	#per218	#per321
2719	2	#per125	#per126
426	2	#org78	#per132
303	2	#per126	#per14
2037	2	#org64	#per2
2172	2	#per140	#per387
2266	2	#pla120	#pla16
2039	2	#pla119	#pla97
2041	2	#org78	#pla41
2032	2	#per433	#pla
2191	2	#per218	#per293
261	2	#per226	#per248
2199	2	#per148	#pla107
2197	2	#per184	#per199
2286	2	#org64	#per156
1133	2	#per395	#pla120
2029	2	#org65	#per134
338	2	#389	#per140
26	2	#389	#per334
1055	2	#org4	#pla41
2202	2	#per285	#pla97
2025	2	#per141	#per200
2203	2	#per242	#per264
1143	2	#org85	#per133
280	2	#per14	#per207
2204	2	#org0	#per124
434	2	#pla148	#pla9
2077	2	#per212	#per264
281	2	#per113	#per395
2150	2	#per281	#pla9
1083	2	#org93	#per152
2707	2	#per260	#pla119
305	2	#per228	#per5
1013	2	#pla117	#pla119
2132	2	#per2	#per263
2131	2	#pla117	#pla118
1087	2	#per	#per140
2129	2	#442	#per293
2128	2	#per286	#per7
366	2	#per14	#per345
2138	2	#424	#per321
372	2	#per194	#per206
2709	2	#per135	#per2
283	2	#org63	#per125
289	2	#org0	#per47
2149	2	#pla121	#pla16
2105	2	#389	#per380
379	2	#org63	#per161
2114	2	#per147	#per228
1003	2	#per4	#pla125
1096	2	#per242	#per351
381	2	#per320	#per351
364	2	#per47	#tim4
363	2	#per360	#pla121
2145	2	#per202	#per259
1099	2	#per125	#per5
2147	2	#per162	#per87
11	2	#pla20	#pla99
384	2	#per131	#per132
978	2	#per4	#pla115
1924	2	#org71	#per208
436	2	#442	#per140
686	2	#per3	#pla133
334	2	#per131	#per215
229	2	#per197	#per226
1457	2	#org	#org88
1073	2	#per262	#pla97
2597	2	#per	#per218
698	2	#per279	#per433
1372	2	#per260	#per395
1371	2	#424	#per
1617	2	#per113	#per329
690	2	#per153	#per3
1620	2	#per176	#per438
2730	2	#442	#per218
2492	2	#per134	#per136
685	2	#per14	#per153
1022	2	#per131	#per244
1364	2	#per179	#per198
1362	2	#442	#per277
1629	2	#pla110	#pla116
680	2	#per242	#per333
1606	2	#org0	#per178
1359	2	#org78	#per136
702	2	#per125	#per127
703	2	#per360	#pla120
2507	2	#per137	#pla5
716	2	#org	#per131
836	2	#org88	#pla110
1585	2	#per197	#per248
1586	2	#org71	#per219
2189	2	#per177	#per314
2187	2	#per153	#per263
257	2	#per161	#pla108
2061	2	#per136	#per354
2044	2	#per14	#per17
22	2	#org0	#per245
2047	2	#per144	#pere314
406	2	#per142	#per241
1118	2	#per131	#pla136
2072	2	#per104	#per173
2174	2	#per314	#per330
2175	2	#per254	#per259
2176	2	#per259	#per279
2068	2	#per113	#per366
408	2	#per135	#per3
409	2	#per182	#per258
1123	2	#org0	#per152
2060	2	#per244	#per248
2049	2	#424	#442
2059	2	#per293	#per321
413	2	#org0	#per145
1124	2	#per197	#pla84
2718	2	#per113	#per360
2179	2	#per197	#per244
2270	2	#org71	#per222
2182	2	#per144	#pla84
1128	2	#org	#pla5
2051	2	#per285	#pla124
2050	2	#per293	#per334
1061	2	#per175	#per321
1060	2	#per126	#per127
342	2	#per149	#pla115
2078	2	#per205	#per279
2240	2	#per260	#pla117
2168	2	#org0	#per138
1983	2	#per182	#per4
39	2	#pla113	#pla120
1151	2	#per172	#per197
2005	2	#per191	#pla117
2341	2	#per329	#pla120
2210	2	#per14	#per206
2002	2	#pla117	#pla97
445	2	#per366	#pla103
1028	2	#per14	#pla133
2211	2	#per218	#per334
1999	2	#per16	#pla84
252	2	#per329	#pla103
456	2	#org4	#per132
1980	2	#org83	#pla82
321	2	#389	#per277
2359	2	#per14	#pla79
1176	2	#per232	#per259
1942	2	#org0	#per142
1943	2	#429	#442
1178	2	#per395	#pla113
2253	2	#per212	#per333
2236	2	#pla41	#tim3
1179	2	#per329	#pla102
1957	2	#org13	#per139
1956	2	#per250	#per263
2724	2	#per212	#per351
237	2	#org63	#org66
2672	2	#429	#per387
240	2	#per184	#per434
2007	2	#per180	#pla
