	Source	Target	Weight	Type
14148	#per11	#per915	1	Undirected
14147	#pla115	#pla513	1	Undirected
14146	#org194	#per496	1	Undirected
14145	#org19	#per657	1	Undirected
14144	#pla115	#pla17	1	Undirected
14143	#per39	#per481	1	Undirected
14130	#per404	#per664	1	Undirected
14142	#per112	#per575	1	Undirected
14140	#org102	#per728	1	Undirected
14138	#org146	#pla6	1	Undirected
14137	#per140	#per242	1	Undirected
14136	#per162	#per330	1	Undirected
14135	#org8	#per481	1	Undirected
14134	#pla22	#pla458	1	Undirected
14132	#per48	#per507	1	Undirected
14141	#per132	#per95	1	Undirected
14151	#pla57	#pla84	1	Undirected
14110	#pla143	#pla20	1	Undirected
14108	#per20	#per708	1	Undirected
14087	#per106	#per907	1	Undirected
14086	#org54	#per976	1	Undirected
14084	#per136	#per528	1	Undirected
14081	#per104	#per111	1	Undirected
14080	#org29	#per658	1	Undirected
14078	#per121	#per25	1	Undirected
14076	#pla539	#pla86	1	Undirected
14088	#pla250	#pla71	1	Undirected
14075	#org99	#per714	1	Undirected
14073	#org101	#org63	1	Undirected
14072	#org211	#per655	1	Undirected
14071	#org63	#per847	1	Undirected
14069	#pla149	#pla164	1	Undirected
14068	#org185	#org4	1	Undirected
14067	#org13	#per614	1	Undirected
14066	#pla281	#pla30	1	Undirected
14074	#org141	#org65	1	Undirected
14109	#org105	#org110	1	Undirected
14089	#org37	#per171	1	Undirected
14091	#org21	#per6	1	Undirected
14107	#org167	#org182	1	Undirected
14106	#pla281	#pla62	1	Undirected
14105	#org41	#per466	1	Undirected
14104	#per16	#per789	1	Undirected
14103	#org100	#org200	1	Undirected
14102	#per264	#per659	1	Undirected
14101	#org194	#pla16	1	Undirected
14090	#per124	#per158	1	Undirected
14100	#org134	#per157	1	Undirected
14098	#per26	#per570	1	Undirected
14097	#per482	#per790	1	Undirected
14096	#per481	#per859	1	Undirected
14095	#org131	#per186	1	Undirected
14094	#org139	#per131	1	Undirected
14093	#per1	#per179	1	Undirected
14092	#per469	#per790	1	Undirected
14099	#org138	#per333	1	Undirected
13971	#org110	#per11	1	Undirected
14341	#per5	#per661	1	Undirected
14343	#per185	#per21	1	Undirected
14601	#org43	#per104	1	Undirected
14600	#org37	#per915	1	Undirected
14597	#per672	#per95	1	Undirected
14596	#org19	#pla3	1	Undirected
14595	#pla108	#pla111	1	Undirected
14594	#org195	#per197	1	Undirected
14593	#org65	#per499	1	Undirected
14592	#per124	#per723	1	Undirected
14591	#pla178	#pla61	1	Undirected
14590	#per121	#per125	1	Undirected
14589	#org70	#per676	1	Undirected
14588	#org64	#org78	1	Undirected
14587	#org168	#per111	1	Undirected
14586	#per471	#per909	1	Undirected
14585	#pla262	#pla73	1	Undirected
14602	#org126	#org90	1	Undirected
14604	#org165	#per127	1	Undirected
14605	#per179	#per181	1	Undirected
14606	#pla145	#pla6	1	Undirected
14626	#org0	#per111	1	Undirected
14625	#org197	#org79	1	Undirected
14623	#org25	#per3	1	Undirected
14622	#per137	#per777	1	Undirected
14621	#per179	#per26	1	Undirected
14620	#org165	#per675	1	Undirected
14618	#org52	#per131	1	Undirected
14583	#org172	#per614	1	Undirected
14617	#org17	#per655	1	Undirected
14615	#per161	#per562	1	Undirected
14614	#per12	#per24	1	Undirected
14613	#per149	#per2	1	Undirected
14612	#pla4	#pla458	1	Undirected
14611	#org172	#per135	1	Undirected
14610	#org70	#per869	1	Undirected
14609	#org22	#org80	1	Undirected
14616	#pla133	#pla142	1	Undirected
14582	#per570	#per638	1	Undirected
14581	#org18	#per925	1	Undirected
14580	#pla384	#pla83	1	Undirected
14558	#per923	#per959	1	Undirected
14557	#per482	#per715	1	Undirected
14554	#per330	#per499	1	Undirected
14553	#org182	#per571	1	Undirected
14552	#pla206	#pla92	1	Undirected
14551	#org93	#per679	1	Undirected
14550	#per696	#per849	1	Undirected
14559	#org168	#org8	1	Undirected
14549	#per178	#pla69	1	Undirected
14547	#per685	#per777	1	Undirected
14546	#per462	#per95	1	Undirected
14545	#org135	#org143	1	Undirected
14544	#org40	#org78	1	Undirected
14543	#org173	#per35	1	Undirected
14542	#org131	#per272	1	Undirected
14541	#per26	#per665	1	Undirected
14548	#org17	#org93	1	Undirected
14628	#org141	#pla4	1	Undirected
14560	#per137	#per693	1	Undirected
14562	#wor7	#wor8	1	Undirected
14579	#per216	#per439	1	Undirected
14578	#org195	#per46	1	Undirected
14577	#per404	#per504	1	Undirected
14576	#pla5	#pla539	1	Undirected
14575	#org192	#per976	1	Undirected
14574	#per16	#per528	1	Undirected
14573	#per141	#per715	1	Undirected
14561	#per925	#per94	1	Undirected
14572	#org15	#per533	1	Undirected
14570	#per463	#per709	1	Undirected
14569	#per709	#per849	1	Undirected
14567	#per655	#per659	1	Undirected
14566	#per214	#per454	1	Undirected
14565	#pla110	#pla126	1	Undirected
14564	#per120	#per186	1	Undirected
14563	#per564	#per659	1	Undirected
14571	#org161	#org6	1	Undirected
14629	#per286	#per504	1	Undirected
14630	#pla214	#pla5	1	Undirected
14632	#pla206	#pla736	1	Undirected
14697	#org185	#org86	1	Undirected
14696	#pla143	#pla212	1	Undirected
14695	#per127	#per212	1	Undirected
14694	#org102	#per656	1	Undirected
14693	#per344	#pla507	1	Undirected
14692	#org15	#per354	1	Undirected
14691	#pla190	#pla329	1	Undirected
14698	#org37	#per207	1	Undirected
14690	#per245	#per95	1	Undirected
14688	#org211	#per212	1	Undirected
14687	#pla30	#pla349	1	Undirected
14686	#per127	#per139	1	Undirected
14685	#per463	#pla3	1	Undirected
14684	#pla315	#pla362	1	Undirected
14683	#org78	#per971	1	Undirected
14681	#pla143	#pla308	1	Undirected
14689	#per789	#per982	1	Undirected
14678	#pla350	#pla41	1	Undirected
14699	#pla138	#pla148	1	Undirected
14701	#per462	#per552	1	Undirected
14718	#org164	#per571	1	Undirected
14717	#org144	#per581	1	Undirected
14716	#per371	#per787	1	Undirected
14715	#per652	#per964	1	Undirected
14714	#per118	#per139	1	Undirected
14713	#pla159	#pla387	1	Undirected
14712	#per426	#pla546	1	Undirected
14700	#pla192	#pla403	1	Undirected
14711	#org198	#org52	1	Undirected
14709	#per13	#per984	1	Undirected
14707	#org44	#per330	1	Undirected
14706	#per533	#pla3	1	Undirected
14705	#per248	#per701	1	Undirected
14704	#org19	#per670	1	Undirected
14703	#org167	#per135	1	Undirected
14702	#org191	#per865	1	Undirected
14710	#per122	#per47	1	Undirected
14540	#per212	#per4	1	Undirected
14677	#org130	#org165	1	Undirected
14675	#pla145	#pla191	1	Undirected
14648	#org86	#per46	1	Undirected
14647	#per119	#per373	1	Undirected
14646	#per197	#per671	1	Undirected
14645	#pla731	#pla79	1	Undirected
14644	#org110	#per571	1	Undirected
14643	#per126	#per233	1	Undirected
14642	#pla134	#pla84	1	Undirected
14649	#pla11	#pla6	1	Undirected
14641	#org29	#per193	1	Undirected
14639	#org49	#per330	1	Undirected
14638	#pla458	#pla79	1	Undirected
14637	#org164	#org188	1	Undirected
14636	#org194	#per108	1	Undirected
14635	#per6	#per653	1	Undirected
14634	#org36	#pla66	1	Undirected
14633	#per330	#per466	1	Undirected
14640	#org18	#per700	1	Undirected
14676	#org108	#pla4	1	Undirected
14650	#pla143	#pla732	1	Undirected
14652	#per42	#per522	1	Undirected
14674	#org147	#per528	1	Undirected
14673	#org15	#per499	1	Undirected
14670	#per143	#per915	1	Undirected
14668	#org195	#per214	1	Undirected
14667	#per2	#per693	1	Undirected
14665	#per709	#per745	1	Undirected
14664	#org191	#per39	1	Undirected
14651	#per16	#per982	1	Undirected
14662	#org65	#per661	1	Undirected
14659	#per4	#per523	1	Undirected
14658	#per26	#per644	1	Undirected
14657	#per143	#per952	1	Undirected
14656	#org50	#per507	1	Undirected
14655	#org25	#per512	1	Undirected
14654	#pla146	#pla255	1	Undirected
14653	#org50	#per19	1	Undirected
14660	#per3	#per351	1	Undirected
14342	#per204	#pla111	1	Undirected
14539	#org50	#per523	1	Undirected
14537	#org131	#per58	1	Undirected
14414	#org102	#per136	1	Undirected
14413	#per14	#pla4	1	Undirected
14412	#per12	#per672	1	Undirected
14411	#org16	#per23	1	Undirected
14410	#org161	#org183	1	Undirected
14409	#pla133	#pla24	1	Undirected
14408	#per268	#per39	1	Undirected
14407	#org96	#per483	1	Undirected
14406	#per777	#per95	1	Undirected
14404	#per531	#per58	1	Undirected
14403	#org22	#per320	1	Undirected
14401	#per14	#pla110	1	Undirected
14399	#per652	#per745	1	Undirected
14397	#per181	#per242	1	Undirected
14396	#org145	#per109	1	Undirected
14415	#pla0	#pla2	1	Undirected
14416	#per162	#per659	1	Undirected
14418	#org78	#per925	1	Undirected
14419	#per480	#per678	1	Undirected
14438	#org172	#per158	1	Undirected
14437	#pla111	#pla133	1	Undirected
14436	#pla210	#pla732	1	Undirected
14435	#per120	#per94	1	Undirected
14434	#org22	#per845	1	Undirected
14433	#pla16	#pla250	1	Undirected
14432	#per160	#per172	1	Undirected
14395	#org102	#per503	1	Undirected
14431	#per1	#per693	1	Undirected
14429	#per3	#per665	1	Undirected
14428	#org41	#per659	1	Undirected
14426	#org63	#per21	1	Undirected
14425	#org70	#per484	1	Undirected
14424	#per111	#per46	1	Undirected
14423	#per504	#per854	1	Undirected
14420	#pla108	#pla72	1	Undirected
14430	#per15	#per859	1	Undirected
14394	#per22	#per500	1	Undirected
14393	#per673	#per986	1	Undirected
14392	#per20	#per652	1	Undirected
14363	#per143	#per533	1	Undirected
14362	#org172	#per314	1	Undirected
14361	#per104	#per747	1	Undirected
14360	#pla255	#pla384	1	Undirected
14359	#per201	#per3	1	Undirected
14358	#org50	#per776	1	Undirected
14357	#org165	#org93	1	Undirected
14364	#org109	#per723	1	Undirected
14355	#per161	#per463	1	Undirected
14353	#org214	#per560	1	Undirected
14352	#pla731	#pla732	1	Undirected
14350	#pla539	#pla8	1	Undirected
14349	#per214	#per469	1	Undirected
14348	#org88	#org96	1	Undirected
14345	#per984	#per986	1	Undirected
14344	#per373	#per745	1	Undirected
14354	#org74	#per483	1	Undirected
14439	#pla458	#pla92	1	Undirected
14365	#org8	#per553	1	Undirected
14368	#org57	#per46	1	Undirected
14390	#org138	#per140	1	Undirected
14388	#org89	#per131	1	Undirected
14387	#org165	#per315	1	Undirected
14386	#per46	#per707	1	Undirected
14385	#org179	#org80	1	Undirected
14384	#org131	#per39	1	Undirected
14383	#per272	#per3	1	Undirected
14366	#per26	#per553	1	Undirected
14382	#org14	#per639	1	Undirected
14380	#org96	#org98	1	Undirected
14377	#per496	#per777	1	Undirected
14375	#org43	#per659	1	Undirected
14374	#per47	#per5	1	Undirected
14372	#pla51	#pla61	1	Undirected
14371	#per104	#per679	1	Undirected
14370	#org42	#per121	1	Undirected
14381	#org0	#pla152	1	Undirected
14440	#org105	#per465	1	Undirected
14441	#org194	#per701	1	Undirected
14442	#per11	#per178	1	Undirected
14513	#org29	#per162	1	Undirected
14512	#org52	#per861	1	Undirected
14511	#org197	#per26	1	Undirected
14510	#pla316	#pla485	1	Undirected
14509	#pla116	#pla16	1	Undirected
14508	#per499	#per695	1	Undirected
14507	#per25	#per286	1	Undirected
14514	#per7	#per790	1	Undirected
14503	#org172	#per464	1	Undirected
14500	#per144	#per904	1	Undirected
14499	#per320	#per614	1	Undirected
14498	#per531	#per533	1	Undirected
14497	#org24	#per157	1	Undirected
14495	#org54	#org70	1	Undirected
14494	#org111	#per172	1	Undirected
14493	#per528	#per653	1	Undirected
14502	#per214	#per23	1	Undirected
14491	#org104	#per522	1	Undirected
14515	#pla191	#pla200	1	Undirected
14518	#per420	#per469	1	Undirected
14536	#per583	#per861	1	Undirected
14535	#per242	#per5	1	Undirected
14534	#pla142	#pla3	1	Undirected
14533	#org39	#per971	1	Undirected
14532	#pla268	#pla393	1	Undirected
14531	#org192	#org6	1	Undirected
14530	#org88	#per496	1	Undirected
14517	#per454	#per466	1	Undirected
14527	#per599	#per696	1	Undirected
14525	#org131	#org164	1	Undirected
14524	#per106	#per723	1	Undirected
14523	#pla1	#pla731	1	Undirected
14522	#per6	#per964	1	Undirected
14521	#org100	#per985	1	Undirected
14520	#org6	#per17	1	Undirected
14519	#org122	#org24	1	Undirected
14526	#per128	#per172	1	Undirected
14538	#org88	#per457	1	Undirected
14490	#per652	#per952	1	Undirected
14487	#org144	#per727	1	Undirected
14462	#per204	#pla539	1	Undirected
14461	#per174	#per496	1	Undirected
14460	#per148	#per527	1	Undirected
14459	#pla146	#pla159	1	Undirected
14458	#org51	#org70	1	Undirected
14457	#org70	#per599	1	Undirected
14455	#org69	#per715	1	Undirected
14463	#org110	#per136	1	Undirected
14454	#per233	#per679	1	Undirected
14452	#org50	#per139	1	Undirected
14450	#per177	#per181	1	Undirected
14449	#org183	#per972	1	Undirected
14448	#per533	#per789	1	Undirected
14445	#per505	#per511	1	Undirected
14444	#per131	#per28	1	Undirected
14443	#org165	#per333	1	Undirected
14453	#pla210	#pla403	1	Undirected
14488	#org138	#per700	1	Undirected
14464	#per5	#per845	1	Undirected
14466	#org211	#org43	1	Undirected
14485	#org27	#per14	1	Undirected
14484	#org52	#per2	1	Undirected
14483	#org14	#per44	1	Undirected
14482	#org69	#pla14	1	Undirected
14481	#org98	#per482	1	Undirected
14479	#per670	#per789	1	Undirected
14478	#per207	#per230	1	Undirected
14465	#per14	#pla135	1	Undirected
14477	#org55	#per504	1	Undirected
14475	#org44	#per454	1	Undirected
14473	#org185	#org74	1	Undirected
14472	#per745	#per952	1	Undirected
14471	#org44	#per314	1	Undirected
14470	#per466	#per72	1	Undirected
14469	#pla191	#pla51	1	Undirected
14467	#per178	#per657	1	Undirected
14476	#per522	#per658	1	Undirected
13969	#per354	#per787	1	Undirected
13968	#per135	#per209	1	Undirected
13967	#org44	#pla498	1	Undirected
13460	#per253	#per324	1	Undirected
13458	#org100	#pla307	1	Undirected
13457	#pla214	#pla349	1	Undirected
13455	#per245	#per960	1	Undirected
13454	#per0	#per26	1	Undirected
13453	#per2	#per777	1	Undirected
13452	#org129	#org46	1	Undirected
13451	#org19	#per971	1	Undirected
13450	#per109	#per242	1	Undirected
13449	#per672	#per693	1	Undirected
13448	#org135	#per973	1	Undirected
13447	#org195	#per145	1	Undirected
13446	#org190	#per25	1	Undirected
13445	#per463	#per584	1	Undirected
13444	#per180	#per469	1	Undirected
13461	#pla200	#pla302	1	Undirected
13462	#per148	#per465	1	Undirected
13463	#org93	#per315	1	Undirected
13464	#pla149	#pla78	1	Undirected
13484	#org108	#org80	1	Undirected
13483	#org44	#per466	1	Undirected
13482	#per520	#per539	1	Undirected
13480	#org132	#per454	1	Undirected
13479	#org211	#per205	1	Undirected
13478	#org80	#per23	1	Undirected
13477	#per1	#per149	1	Undirected
13441	#org16	#per214	1	Undirected
13476	#org11	#per144	1	Undirected
13474	#per320	#per333	1	Undirected
13473	#org181	#org78	1	Undirected
13472	#per181	#per614	1	Undirected
13471	#per107	#per109	1	Undirected
13469	#per119	#per923	1	Undirected
13467	#pla20	#pla51	1	Undirected
13465	#per504	#per859	1	Undirected
13475	#pla178	#pla371	1	Undirected
