	genre	n	id	id_book	title	viaf	verses	number verses	number chapters	number pericopes	number of quotations	mean number quotations	median number quotations	std of number of quotations	1st perc of number of quotations	100th perc of number of quotations	number of references	mean number references	median number references	std of number of references	1st perc of number of references	100th perc of number of references	number of entities referred	number of different entities referred	most common entity id	most common entity frecuency	second most common entity id	second most common entitity frequency	most frequent entity id people	most frequenct entity frequency people	people	number of different people	most frequent entity id groups	most frequenct entity frequency groups	groups	number of different groups	most frequent entity id places	most frequenct entity frequency places	places	number of different places	most frequent entity id times	most frequenct entity frequency times	times	number of different times	most frequent entity id works	most frequenct entity frequency works	works	number of different works	number of 1st level quotations	number of 2nd level quotations	number of 3rd level quotations	number of 4th level quotations	number of 5th level quotations	number of entities communicating	number of different entities communicating	number of entities receiving communication	number of different entities receiving communication	number of oral quotations	number of dream quotations	number of praying quotations	number of oath quotations	number of written quotations	number of song quotations	number of soCalled quotations	number of idea quotations
1KI	historical	11	1KI	1KI	1 Reyes	179031496	816	816	22	51	816	0.6041666666666666	0.0	0.7872806605307969	0	5	816	4.176470588235294	4.0	2.844559598094114	0	16	3411	320	#per14	354	#per39	290	#per14	354	1977	146	#org70	180	637	58	#pla4	190	775	110	#tim27	5	11	3	#wor13	6	11	3	402	78	13	0	0	498	49	546	49	395	0	48	8	15	0	6	18
2KI	historical	12	2KI	2KI	2 Reyes	174592802	718	718	25	61	718	0.6838440111420613	0.0	0.9278223860721297	0	5	718	5.153203342618385	5.0	3.1448409485676656	0	21	3711	346	#per14	357	#pla4	150	#per14	357	2023	168	#org24	106	730	64	#pla4	150	920	109	#tim9	5	8	2	#wor13	11	30	3	369	92	22	8	0	527	61	565	68	430	0	10	1	13	0	8	27
EZR	historical	13	EZR	EZR	Esdras	?	280	280	10	13	280	0.33214285714285713	0.0	0.5807877306906886	0	3	280	5.392857142857143	5.0	3.3305287740841636	0	17	1531	334	#org171	182	#per14	133	#per14	133	746	242	#org171	182	485	43	#pla30	66	288	44	#tim5	2	4	3	#wor1	7	8	2	80	10	3	0	0	115	19	118	18	30	0	10	0	52	1	0	0
NEH	historical	14	NEH	NEH	Nehemías	314805700	406	406	13	19	406	0.35467980295566504	0.0	0.6646750034292435	0	3	406	4.201970443349754	3.0	3.407123410580649	0	19	1708	412	#org70	123	#per14	94	#per14	94	962	284	#org70	123	413	48	#pla3	60	296	75	#tim9	12	16	4	#wor1	21	21	1	104	39	1	0	0	150	19	153	16	90	0	49	0	4	0	1	0
EST	historical	15	EST	EST	Ester	185083381	167	167	10	12	167	0.3532934131736527	0.0	0.5918914373692621	0	2	167	5.281437125748503	5.0	2.924524938344503	0	17	925	81	#per969	209	#per1727	82	#per969	209	570	42	#org39	71	195	19	#pla455	55	117	14	#tim32	23	40	5	#wor15	3	3	1	53	6	0	0	0	61	12	74	18	52	0	0	0	0	0	1	5
JOB	wisdom	16	JOB	JOB	Job	186698577	1070	1070	42	44	1070	1.0233644859813085	1.0	0.36242593882383206	0	3	1070	0.8523364485981308	0.0	1.1848234086599616	0	9	962	56	#per14	209	#org0	114	#per14	209	480	18	#org0	114	397	23	#pla41	41	81	12	#tim2	2	3	2	#wor1	1	1	1	1016	79	0	0	0	1097	14	2131	9	1082	0	3	0	0	0	6	1
PSA	lyric	17	PSA	PSA	Salmos	60146153112905251951	2462	2462	150	148	2462	0.7871649065800163	1.0	0.5196169669865527	0	3	2462	1.4451665312753859	1.0	1.3633171597492315	0	9	3572	153	#per14	1386	#org0	249	#per14	1386	1637	38	#org0	249	1304	48	#pla41	151	593	63	#tim16	1	2	2	#wor1	35	36	2	1820	117	1	0	0	1940	21	1945	30	510	19	1365	0	0	0	21	17
PRO	wisdom	18	PRO	PRO	Proverbios	177805643	915	915	31	36	915	0.6743169398907104	1.0	0.6370631880481856	0	3	915	1.2633879781420765	1.0	1.1682916408418775	0	7	1154	34	#org19	351	#org0	231	#per14	108	137	12	#org19	351	979	13	#pla15	12	24	7		0	0	0	#wor1	7	7	1	533	84	0	0	0	617	11	617	7	44	0	3	0	526	0	43	1
ECC	wisdom	19	ECC	ECC	Eclesiastés	224729743	222	222	12	17	222	0.08108108108108109	0.0	0.3193640494968762	0	2	222	1.1711711711711712	1.0	1.2682968511726858	0	7	259	22	#org0	78	#per14	42	#per14	42	54	3	#org0	78	189	13	#pla3	5	16	6		0	0	0		0	0	0	18	0	0	0	0	18	2	18	3	8	0	0	0	0	0	3	0
SON	lyric	20	SON	SON	Cantar de los cantares	180229179	117	117	8	12	117	1.1196581196581197	1.0	0.3751411955424059	0	3	117	1.982905982905983	2.0	1.7219821476852353	0	7	234	38	#per1876	72	#per39	68	#per1876	72	149	6	#org391	13	44	10	#pla3	11	40	21		0	0	0	#wor16	1	1	1	121	10	0	0	0	132	3	132	6	130	0	0	0	0	0	0	0
ISA	apocalyptic	21	ISA	ISA	Isaías	296479192	1292	1292	66	101	1292	1.0247678018575852	1.0	0.7317135170690948	0	5	1292	2.595201238390093	2.0	2.2999832026595093	0	16	3335	253	#per14	745	#org70	404	#per14	745	1106	55	#org70	404	1366	62	#pla41	97	840	131	#tim9	11	19	4	#wor1	4	4	1	1021	278	22	3	0	1343	38	1359	47	1143	0	82	6	11	1	37	35
LAM	lyric	22	LAM	LAM	Lamentaciones	182726631	154	154	5	5	154	0.42857142857142855	0.0	0.5700262906119291	0	3	154	1.8311688311688312	1.0	1.8745115086726827	0	8	284	30	#org70	64	#per14	56	#per14	56	60	2	#org70	64	161	18	#pla3	18	63	10		0	0	0		0	0	0	63	3	0	0	0	66	5	66	6	15	0	46	0	0	0	3	0
JER	prophecy	23	JER	JER	Jeremías	176172762	1364	1364	52	81	1364	1.7917888563049853	2.0	1.2012673776831306	0	6	1364	3.775659824046921	3.0	2.982629080764999	0	19	5151	314	#per14	905	#org39	411	#per14	905	2029	105	#org39	411	1921	72	#pla69	229	1183	134	#tim9	7	7	1	#wor1	8	11	2	1150	778	426	87	3	2479	50	2777	48	1882	0	96	5	25	0	37	388
EZE	prophecy	24	EZE	EZE	Ezekiel	176193843	1273	1273	48	68	1273	2.0502749410840533	3.0	1.2826804689221167	0	5	1273	2.4045561665357424	2.0	2.2859038876377475	0	13	3083	214	#per14	696	#org0	291	#per14	696	933	28	#org0	291	1171	67	#pla4	291	967	115	#tim9	4	6	2	#wor10	4	6	2	1035	783	752	40	0	2613	25	2811	34	1826	0	8	0	2	0	11	761
DAN	prophecy	25	DAN	DAN	Daniel	174158777	357	357	12	14	357	1.1988795518207283	1.0	0.7696481609354103	0	3	357	2.8515406162464987	2.0	2.406178641236414	0	14	1053	84	#per861	132	#per46	104	#per861	132	548	23	#org100	78	349	32	#pla69	28	152	27		0	0	0	#wor1	2	4	2	289	134	5	0	0	434	19	436	19	241	0	21	0	165	0	1	0
HOS	prophecy	26	HOS	HOS	Oseas	1146030422535861055	197	197	14	15	197	1.5634517766497462	2.0	0.7230069466170579	0	3	197	2.5888324873096447	2.0	2.0549783149360863	0	15	519	88	#per14	104	#pla4	59	#per14	104	160	27	#org70	34	160	29	#pla4	59	196	31		0	0	0	#wor1	3	3	1	178	126	4	0	0	308	5	322	9	299	0	3	0	0	0	4	2
JOE	prophecy	27	JOE	JOE	Joel	176216021	73	73	3	3	73	3.0136986301369864	3.0	0.45622699896151564	0	5	73	2.712328767123288	2.0	2.2759579915498986	0	9	193	40	#per14	46	#org70	26	#per14	46	51	4	#org70	26	76	17	#pla72	10	59	18	#tim2	7	7	1		0	0	0	72	72	72	3	1	220	5	220	4	217	0	2	0	0	0	0	1
AMO	prophecy	28	AMO	AMO	Amós	183065024	146	146	9	13	146	2.041095890410959	2.0	0.536614063187484	0	5	146	3.2465753424657535	3.0	2.347593467231457	0	12	474	99	#per14	123	#org70	66	#per14	123	173	20	#org70	66	156	30	#pla4	17	140	48	#tim2	5	5	1		0	0	0	145	140	13	0	0	297	6	322	8	283	0	0	6	2	0	6	1
OBA	prophecy	29	OBA	OBA	Abdías	181846225	21	21	1	1	21	0.9047619047619048	1.0	0.43643578047198484	0	2	21	3.9047619047619047	3.0	3.5057775443510657	0	12	81	31	#org126	9	#per14	8	#per14	8	21	5	#org126	9	32	11	#pla246	6	27	14	#tim2	1	1	1		0	0	0	18	1	0	0	0	19	2	19	1	18	0	0	0	0	0	1	0
JON	historical	30	JON	JON	Jonás	183065974	48	48	4	0	48	0.7083333333333334	1.0	0.6509676376351031	0	2	48	2.3958333333333335	2.0	1.3951219474393448	0	7	115	14	#per14	38	#per36	23	#per14	38	64	4	#org99	7	13	3	#pla20	16	38	7		0	0	0		0	0	0	30	4	0	0	0	34	5	34	5	18	0	13	0	3	0	0	0
MIC	prophecy	31	MIC	MIC	Miqueas	180230104	105	105	7	10	105	2.6952380952380954	3.0	0.9106613142678398	0	4	105	2.933333333333333	2.0	2.4971778943233973	0	11	305	68	#per14	57	#org70	37	#per14	57	93	22	#org70	37	118	18	#pla4	16	91	26	#tim2	1	1	1	#wor1	2	2	1	104	85	84	10	0	283	6	324	8	256	0	20	0	0	0	1	6
NAH	prophecy	32	NAH	NAH	Nahúm	183065974	47	47	3	3	47	2.978723404255319	3.0	0.4885364879847837	0	4	47	1.6808510638297873	1.0	1.6299690978495562	0	5	80	31	#per14	14	#org101	8	#per14	14	17	4	#org101	8	38	11	#pla20	6	25	16		0	0	0		0	0	0	46	46	46	2	0	140	3	194	5	140	0	0	0	0	0	0	0
HAB	prophecy	33	HAB	HAB	Habacuc	87146462592927770973	56	56	3	3	56	1.6607142857142858	1.0	1.083374957575307	0	5	56	1.6071428571428572	1.0	1.568769887854481	0	6	90	26	#per14	20	#org0	20	#per14	20	25	3	#org0	20	42	12	#pla41	9	18	8	#tim3	1	1	1	#wor8	3	4	2	54	19	17	3	0	93	3	100	5	45	0	10	0	19	18	1	0
ZEP	prophecy	34	ZEP	ZEP	Sofonías	316744693	53	53	3	3	53	3.0754716981132075	3.0	0.2666787612158108	3	4	53	3.4716981132075473	3.0	2.879661929843272	0	15	181	53	#per14	39	#org0	20	#per14	39	58	13	#org0	20	60	16	#pla41	10	48	20	#tim2	12	14	3	#wor1	1	1	1	53	53	53	4	0	163	4	176	8	107	0	0	0	53	0	2	0
HAG	prophecy	35	HAG	HAG	Hageo	185495533	38	38	2	2	38	1.6842105263157894	2.0	0.8416606222994191	0	3	38	3.789473684210526	2.0	4.2308895923354	0	16	144	18	#per14	38	#per77	16	#per14	38	100	8	#org70	9	18	3	#pla30	12	19	5	#tim19	6	6	1	#wor1	1	1	1	32	31	1	0	0	64	4	120	5	63	0	0	0	0	0	1	0
ZEC	prophecy	36	ZEC	ZEC	Zacarías	186702507	211	211	14	20	211	2.6966824644549763	3.0	0.972448254774952	0	5	211	3.061611374407583	3.0	2.169264799894306	0	12	637	110	#per14	155	#pla3	51	#per14	155	247	32	#org0	44	204	30	#pla3	51	176	43	#tim11	3	5	3	#wor4	4	5	2	206	192	139	31	1	569	8	573	17	534	0	0	0	4	0	0	30
MAL	prophecy	37	MAL	MAL	Malaquías	192637637	55	55	4	4	55	2.109090909090909	2.0	0.853592132472839	0	5	55	3.0	3.0	1.784708711578779	0	8	164	36	#per14	63	#org0	9	#per14	63	83	9	#org0	9	50	17	#pla4	6	19	6	#tim2	5	6	2	#wor1	5	6	2	56	47	13	0	0	116	5	121	7	102	0	0	0	0	0	14	0
MAT	gospel	38	MAT	MAT	Evangelio de Mateo	186698679	1071	1071	28	150	1071	0.9103641456582633	1.0	0.660921869619475	0	5	1071	1.419234360410831	1.0	1.5697978238106614	0	8	1539	184	#per1	301	#per14	127	#per1	301	829	102	#org3	72	373	28	#pla18	43	279	45	#tim2	20	45	8	#wor1	13	13	1	838	130	7	0	0	975	41	1142	38	856	5	6	0	29	0	11	51
MAR	gospel	39	MAR	MAR	Evangelio de Marcos	179823714	678	678	16	91	678	0.672566371681416	1.0	0.6491782494634861	0	5	678	1.663716814159292	1.0	1.737299315691398	0	11	1138	134	#per1	202	#org0	105	#per1	202	544	59	#org0	105	391	32	#pla30	17	174	37	#tim9	11	24	5	#wor1	5	5	1	422	26	8	0	0	480	36	639	38	429	0	3	2	10	0	11	0
LUK	gospel	40	LUK	LUK	Lucas	175769882	1151	1151	24	145	1151	0.8462206776715899	1.0	0.6926829125552146	0	4	1151	2.1242397914856648	2.0	2.016288822870536	0	16	2480	250	#per1	360	#org0	281	#per1	360	1200	143	#org0	281	893	52	#pla19	45	312	43	#tim9	18	44	7	#wor1	24	30	4	822	143	9	0	0	1007	47	1118	61	847	0	14	12	21	11	39	12
JOH	gospel	41	JOH	JOH	Evangelio de Juan	186698679	879	879	21	82	879	0.8293515358361775	1.0	0.6171456176719134	0	4	879	1.7292377701934016	1.0	1.5248729695425425	0	10	1524	101	#per1	467	#per14	218	#per1	467	1032	41	#org13	71	262	18	#pla18	19	157	30	#tim5	14	48	10	#wor1	24	25	2	693	35	1	0	0	737	32	805	35	635	0	30	0	11	0	5	2
ACT	gospel	42	ACT	ACT	Hechos	174983206	1007	1007	28	79	1007	0.6236345580933466	1.0	0.7038360507952007	0	4	1007	2.65441906653426	2.0	1.9934629337772647	0	16	2705	311	#per504	219	#per14	211	#per504	219	1341	135	#org37	89	764	51	#pla3	68	562	117	#tim17	3	9	5	#wor1	27	29	3	539	71	18	0	0	652	61	795	62	577	1	8	0	42	0	0	0
ROM	letter	43	ROM	ROM	Romans	181440270	433	433	16	36	433	0.20323325635103925	0.0	0.5360077766872723	0	3	433	1.8914549653579678	2.0	1.6428143079477184	0	10	824	98	#per14	189	#per1	117	#per14	189	454	54	#org0	49	263	26	#pla4	10	38	15	#tim3	1	2	2	#wor1	67	67	1	63	24	1	0	0	51	11	56	10	28	0	4	0	49	0	4	0
1CO	letter	44	1CO	1CO	1 Corintios	179420235	437	437	16	29	437	0.06864988558352403	0.0	0.33844118996563327	0	4	437	1.7482837528604118	1.0	1.795963371859547	0	10	768	67	#per1	152	#per14	123	#per1	152	367	20	#org122	48	358	27	#pla18	4	24	15	#tim2	2	5	4	#wor1	14	14	1	28	2	0	0	0	16	6	20	2	4	0	0	0	11	0	11	0
2CO	letter	45	2CO	2CO	2 Corintios	181845414	257	257	13	26	257	0.042801556420233464	0.0	0.25410061122037486	0	2	257	1.416342412451362	1.0	1.6086331565325016	0	11	367	42	#per14	89	#per1	86	#per14	89	231	13	#org18	23	105	16	#pla199	7	25	11	#tim2	1	1	1	#wor9	5	5	1	8	3	0	0	0	5	2	6	2	5	0	0	0	6	0	0	0
GAL	letter	46	GAL	GAL	Gálatas	183875648	149	149	6	16	149	0.12751677852348994	0.0	0.45453556046814697	0	2	149	2.053691275167785	2.0	1.7736252190241597	0	8	315	52	#per1	60	#per14	32	#per1	60	176	19	#org0	17	85	18	#pla3	4	22	13		0	0	0	#wor1	31	32	2	13	6	0	0	0	12	4	8	5	11	0	1	0	7	0	0	0
EPH	letter	47	EPH	EPH	Efesios	229998017	155	155	6	13	155	0.025806451612903226	0.0	0.15907145730625272	0	1	155	2.032258064516129	2.0	1.8069826857158175	0	8	321	30	#per1	92	#per14	43	#per1	92	162	6	#org18	31	138	15	#pla18	9	17	6	#tim3	1	2	2	#wor1	2	2	1	4	0	0	0	0	0	0	3	1	2	0	0	0	1	0	0	0
PHI	letter	48	PHI	PHI	Filipenses	174984235	104	104	4	10	104	0.0	0.0	0.0	0	0	104	1.6442307692307692	1.0	1.6832600663839492	0	10	169	28	#per1	71	#per14	24	#per1	71	118	9	#org276	17	36	9	#pla41	3	10	7	#tim2	2	2	1	#wor1	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL	letter	49	COL	COL	Colosenses	180555937	95	95	4	10	95	0.042105263157894736	0.0	0.32340572876425117	0	3	95	1.8842105263157896	2.0	1.7064530708070298	0	7	178	36	#per1	52	#per14	29	#per1	52	113	16	#org0	17	50	14	#pla18	5	15	6		0	0	0		0	0	0	4	0	0	0	0	4	2	4	2	0	0	0	0	0	0	3	1
1TH	letter	50	1TH	1TH	1 Tesalonicenses	292772106	89	89	5	9	89	0.011235955056179775	0.0	0.10599978800063599	0	1	89	1.9213483146067416	2.0	2.046197799362624	0	13	177	24	#per1	49	#per14	43	#per1	49	115	7	#org293	27	46	9	#pla199	3	12	7	#tim2	4	4	1		0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0
2TH	letter	51	2TH	2TH	2 Tesalonicenses	292772106	47	47	3	6	47	0.0	0.0	0.0	0	0	47	1.851063829787234	1.0	1.8647615933906976	0	9	89	17	#per1	35	#per14	21	#per1	35	70	7	#org293	8	15	6	#pla19	1	3	3	#tim3	1	1	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1TI	letter	52	1TI	1TI	1 Timoteo	177873863	113	113	6	14	113	0.02654867256637168	0.0	0.2095989789689571	0	2	113	1.7876106194690264	1.0	1.9569077622326045	0	11	202	29	#per1	35	#per14	27	#per1	35	92	11	#org0	26	103	14	#pla62	1	2	2	#tim2	1	1	1	#wor1	4	4	1	3	0	0	0	0	1	1	1	1	0	0	0	0	2	0	1	0
2TI	letter	53	2TI	2TI	2 Timoteo	181054394	83	83	4	8	83	0.024096385542168676	0.0	0.2195285199793807	0	2	83	1.7469879518072289	2.0	1.5368908548927833	0	6	145	55	#per1	39	#per14	19	#per1	39	103	33	#org18	9	22	6	#pla62	2	15	13	#tim2	2	3	2	#wor1	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
TIT	letter	54	TIT	TIT	Tito	181034800	46	46	3	4	46	0.021739130434782608	0.0	0.14744195615489714	0	1	46	1.891304347826087	2.0	1.676348689126529	0	7	87	25	#per14	17	#org170	17	#per14	17	37	9	#org170	17	44	12	#pla233	2	3	2	#tim14	1	1	1	#wor1	2	2	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0
PHM	letter	55	PHM	PHM	Filemón	179022987	25	25	1	4	25	0.0	0.0	0.0	0	0	25	2.0	2.0	1.9790570145063195	0	7	53	15	#per1	13	#per504	6	#per1	13	50	13	#org18	2	3	2		0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEB	letter	56	HEB	HEB	Hebreos	174581762	303	303	13	23	303	0.2079207920792079	0.0	0.4599920460693343	0	2	303	1.646864686468647	1.0	1.5708589221037002	0	7	505	79	#per14	100	#per1	75	#per14	100	277	35	#org70	37	151	23	#pla18	17	59	15	#tim3	2	6	4	#wor1	11	12	2	60	3	0	0	0	52	8	54	8	55	0	3	0	0	0	4	0
JAM	letter	57	JAM	JAM	Santiago	182251478	71	71	3	8	71	0.1267605633802817	0.0	0.47598251662936203	0	3	71	1.2816901408450705	1.0	1.455856140769305	0	6	91	17	#per14	16	#org22	15	#per14	16	32	7	#org22	15	52	8	#pla15	1	1	1		0	0	0	#wor1	6	6	1	9	0	0	0	0	9	3	9	4	0	0	0	0	4	0	5	0
1PE	letter	58	1PE	1PE	1 Pedro	198582656	105	105	5	14	105	0.0761904761904762	0.0	0.2665750758459445	0	1	105	1.7619047619047619	2.0	1.5160919492348734	0	9	189	37	#per14	48	#per1	34	#per14	48	107	14	#org37	32	68	12	#pla18	3	11	9	#tim2	2	2	1	#wor1	1	1	1	8	0	0	0	0	6	3	6	1	4	0	0	0	2	0	0	0
2PE	letter	59	2PE	2PE	2 Pedro	4320148523903720970004	61	61	3	5	61	0.04918032786885246	0.0	0.21803894974650143	0	1	61	1.8688524590163935	2.0	1.6680868266376863	0	8	119	32	#per1	24	#org19	17	#per1	24	58	13	#org19	17	35	9	#pla41	4	14	6	#tim2	7	9	2	#wor1	2	3	2	3	0	0	0	0	3	3	3	1	2	0	0	0	0	0	1	0
1JO	letter	60	1JO	1JO	1 epístola de Juan	180630929	105	105	5	11	105	0.02857142857142857	0.0	0.16739766432653122	0	1	105	2.380952380952381	2.0	1.9033419615798477	0	7	256	18	#per14	86	#per1	48	#per14	86	163	7	#org0	39	74	6	#pla18	1	2	2	#tim3	9	12	2	#wor1	5	5	1	3	0	0	0	0	3	3	3	1	3	0	0	0	0	0	0	0
2JO	letter	61	2JO	2JO	2 epístola de Juan	180630929	13	13	1	3	13	0.15384615384615385	0.0	0.3755338080994054	0	1	13	2.0	2.0	2.0816659994661326	0	6	26	8	#per1	7	#per14	6	#per1	7	15	4	#org37	5	9	3		0	0	0	#tim3	2	2	1		0	0	0	2	0	0	0	0	2	1	2	1	2	0	0	0	0	0	0	0
3JO	letter	62	3JO	3JO	3 epístola de Juan	180630929	14	14	1	5	14	0.0	0.0	0.0	0	0	14	1.5	1.5	0.9405399431259602	0	3	21	8	#org18	6	#per843	5	#per843	5	11	5	#org18	6	10	3		0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JUD	letter	63	JUD	JUD	Epístola de Judas	181851752	25	25	1	4	25	0.16	0.0	0.3741657386773941	0	1	25	2.72	2.0	2.3007245235649862	0	10	68	25	#org19	13	#per14	12	#per14	12	36	13	#org19	13	24	7	#pla15	4	7	4	#tim2	1	1	1		0	0	0	4	0	0	0	0	4	3	4	3	1	0	0	0	3	0	0	0
REV	apocalyptic	64	REV	REV	Apocalipsis	181843323	404	404	22	39	404	0.6386138613861386	0.0	0.7475976807175989	0	3	404	1.8316831683168318	1.0	1.8279294822756613	0	14	788	85	#per14	154	#per1	102	#per14	154	374	25	#org4	84	257	32	#pla18	31	126	24	#tim2	2	3	2	#wor4	15	28	2	198	59	1	0	0	265	11	260	15	179	0	24	0	54	0	0	0
