id	string	freq	number	low_string	string_len	type
#per374	Ludim	1	0	ludim	5	per
#per167	Mas	1	0	mas	3	per
#org60	arvadeo	1	0	arvadeo	7	org
#pla79 #pla94 #pla95	ciudades en la  tierra  de  Sinar	1	2	ciudades en la  tierra  de  sinar	33	pla
#org57	heveo	1	0	heveo	5	org
#per294	Rifat	1	0	rifat	5	per
#per301	Dodanim	1	0	dodanim	7	per
#per352	Anamim	1	0	anamim	6	per
#pla103	Zeboim	1	0	zeboim	6	pla
#org54	jebuseo	1	0	jebuseo	7	org
#per236	primogénito	1	0	primogénito	11	per
#per367	Jera	1	0	jera	4	per
#per403	Caftorim	1	0	caftorim	8	per
#per457	Tubal	1	0	tubal	5	per
#per144	padre de todos los hijos de  Heber	1	0	padre de todos los hijos de  heber	34	per
#per416	Geter	1	0	geter	5	per
#per242 #per212 #per351 #per264 #per457 #per333 #per320	hijos de  Jafet	1	6	hijos de  jafet	15	per
#pla23	Sidón	1	0	sidón	5	pla
#pla99	ciudad grande	1	0	ciudad grande	13	pla
#pla94	Erec	1	0	erec	4	pla
#per399	Ofir	1	0	ofir	4	per
#per261	Hazar-mavet	1	0	hazar-mavet	11	per
#per435 #per436 #per292 #per269 #per393	hijos de  Cus	1	4	hijos de  cus	13	per
#per314	Asur	1	0	asur	4	per
#per413	Lehabim	1	0	lehabim	7	per
#pla101	Gerar	1	0	gerar	5	pla
#per290	Almodad	1	0	almodad	7	per
#per458	Havila	1	0	havila	6	per
#per220	Jobab	1	0	jobab	5	per
#per292	Sabta	1	0	sabta	5	per
#per236	Sidón	1	0	sidón	5	per
#per330	Lud	1	0	lud	3	per
#per363	Casluhim	1	0	casluhim	8	per
#per320	Tiras	1	0	tiras	5	per
#per302	Tarsis	1	0	tarsis	6	per
#org56	gergeseo	1	0	gergeseo	8	org
#per333	Mesec	1	0	mesec	5	per
#per307	Elisa	1	0	elisa	5	per
#pla100	Resén	1	0	resén	5	pla
#pla90	Asiria	1	0	asiria	6	pla
#per184 #per210	dos hijos	1	1	dos hijos	9	per
#per212	Magog	1	0	magog	5	per
#pla17	Gomorra	1	0	gomorra	7	pla
#per184	Peleg	1	0	peleg	5	per
#per240	Obal	1	0	obal	4	per
#per318	Abimael	1	0	abimael	7	per
#org59	sineo	1	0	sineo	5	org
#per284	Quitim	1	0	quitim	6	per
#per391	Naftuhim	1	0	naftuhim	8	per
#per165	Uz	1	0	uz	2	per
#per289 #per294 #per291	hijos de  Gomer	1	2	hijos de  gomer	15	per
#per242 #per212 #per351 #per264 #per457 #per333 #per320 #per324 #per253 #per315 #per420 #per233 #per314 #per177 #per330 #per454	hijos	1	15	hijos	5	per
#per144	hermano mayor de  Jafet	1	0	hermano mayor de  jafet	23	per
#per315	Fut	1	0	fut	3	per
#pla81	Gaza	1	0	gaza	4	pla
#pla97	Sinar	1	0	sinar	5	pla
#per435 #per444	hijos de  Raama	1	1	hijos de  raama	15	per
#per165 #per369 #per416 #per167	hijos de  Aram	1	3	hijos de  aram	14	per
#pla16	Sodoma	1	0	sodoma	6	pla
#pla106	Sefar	1	0	sefar	5	pla
#per289	Askenaz	1	0	askenaz	7	per
#per307 #per302 #per284 #per301	hijos de  Javán	1	3	hijos de  javán	15	per
#org58	araceo	1	0	araceo	6	org
#per146	Het	1	0	het	3	per
#per351	Madai	1	0	madai	5	per
#pla97	tierra	1	0	tierra	6	pla
#pla102	Adma	1	0	adma	4	pla
