source	target	type
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per134	undirected
#per14	#per14	undirected
#per14	#per14	undirected
#per14	#per14	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per138	undirected
#per14	#per138	undirected
#per14	#per138	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#per2	undirected
#per14	#org4	undirected
#per14	#org4	undirected
#per14	#org4	undirected
#per14	#org4	undirected
#per14	#per2	undirected
#per14	#per136	undirected
#per14	#per3	undirected
#per14	#per3	undirected
#per14	#per3	undirected
#per14	#per3	undirected
#per14	#per3	undirected
#per14	#per4	undirected
#per14	#per4	undirected
#per14	#per4	undirected
#per14	#per4	undirected
#per14	#per132	undirected
#per14	#per132	undirected
#per14	#per4	undirected
#per14	#per4	undirected
#per14	#per4	undirected
#per14	#per4	undirected
#per14	#per4	undirected
#per14	#per4	undirected
#per14	#per4	undirected
#per14	#per4	undirected
#per14	#per4	undirected
#per14	#per4	undirected
#per145	#per241	undirected
#per145	#per14	undirected
#per145	#per14	undirected
#per145	#per14	undirected
#per20	#per241	undirected
#per20	#per241	undirected
#per20	#per241	undirected
#per241	#per20	undirected
#per241	#per20	undirected
#per241	#per14	undirected
#per241	#org0	undirected
#per241	#org0	undirected
#per142	#per43	undirected
#per142	#per14	undirected
#per142	#per14	undirected
#per141	#per14	undirected
#per154	#per166	undirected
#per154	#per209	undirected
#per154	#per166	undirected
#per154	#per209	undirected
#per154	#org0	undirected
#per47	#org0	undirected
#per47	#per14	undirected
#per47	#per14	undirected
#org0	#org0	undirected
#org0	#org0	undirected
#org0	#org0	undirected
#org0	#org0	undirected
#org0	#per2	undirected
#org0	#per2	undirected
#org0	#per2	undirected
#org0	#per6	undirected
#org0	#per245	undirected
#org0	#per245	undirected
#org0	#per5	undirected
#org0	#per5	undirected
#org0	#per5	undirected
#org0	#per104	undirected
#org0	#org0	undirected
#per2	#per134	undirected
#per2	#per134	undirected
#per2	#per134	undirected
#per2	#per251	undirected
#per2	#per137	undirected
#per2	#per137	undirected
#per2	#per395	undirected
#per2	#per395	undirected
#per2	#per395	undirected
#per2	#per14	undirected
#per2	#per14	undirected
#per2	#per14	undirected
#per2	#per134	undirected
#per2	#per14	undirected
#per2	#per14	undirected
#per2	#org4	undirected
#per2	#org4	undirected
#per2	#org4	undirected
#per2	#per134	undirected
#per2	#org4	undirected
#per2	#per14	undirected
#per2	#per14	undirected
#per2	#per14	undirected
#per2	#per14	undirected
#per2	#per14	undirected
#per2	#per14	undirected
#per2	#per14	undirected
#per2	#per14	undirected
#per2	#per14	undirected
#per2	#org0	undirected
#per2	#per138	undirected
#per2	#per138	undirected
#per2	#per2	undirected
#per2	#per138	undirected
#per2	#per138	undirected
#per2	#per134	undirected
#per2	#per138	undirected
#per2	#per227	undirected
#per2	#per138	undirected
#per2	#per14	undirected
#per2	#org83	undirected
#per2	#per3	undirected
#per2	#per3	undirected
#per2	#org4	undirected
#per2	#org84	undirected
#per2	#org84	undirected
#per2	#org84	undirected
#per2	#per149	undirected
#per2	#org83	undirected
#per2	#org83	undirected
#per2	#org83	undirected
#per2	#org83	undirected
#per2	#org83	undirected
#per2	#org83	undirected
#per2	#org83	undirected
#per2	#org83	undirected
#per2	#org83	undirected
#per2	#org83	undirected
#org65	#org0	undirected
#org65	#per104	undirected
#org65	#per104	undirected
#org65	#per104	undirected
#org65	#per104	undirected
#org65	#per133	undirected
#per251	#per2	undirected
#per251	#per2	undirected
#per431	#per14	undirected
#per431	#per14	undirected
#per395	#per2	undirected
#per395	#per2	undirected
#per134	#per2	undirected
#per134	#per2	undirected
#per134	#per134	undirected
#per134	#per134	undirected
#per134	#per14	undirected
#per134	#per138	undirected
#per134	#org0	undirected
#per134	#org0	undirected
#per134	#org0	undirected
#per134	#per2	undirected
#org4	#per143	undirected
#org4	#per143	undirected
#org4	#per143	undirected
#org4	#per143	undirected
#org4	#per143	undirected
#org4	#per143	undirected
#org4	#per2	undirected
#org4	#per2	undirected
#org4	#per2	undirected
#org4	#per137	undirected
#org4	#per137	undirected
#org4	#per137	undirected
#org4	#per137	undirected
#org4	#per137	undirected
#org4	#per137	undirected
#org4	#per137	undirected
#org4	#per143	undirected
#org4	#per143	undirected
#org4	#per2	undirected
#org4	#per2	undirected
#org4	#per14	undirected
#org4	#per14	undirected
#org4	#per14	undirected
#org4	#per4	undirected
#org4	#per4	undirected
#org4	#per4	undirected
#org4	#per4	undirected
#org4	#per4	undirected
#org4	#per4	undirected
#org4	#per4	undirected
#per143	#per143	undirected
#per143	#per143	undirected
#per137	#org4	undirected
#per137	#org79	undirected
#per137	#org79	undirected
#per137	#org80	undirected
#per137	#org4	undirected
#per137	#org4	undirected
#per137	#org4	undirected
#org79	#per137	undirected
#org79	#per137	undirected
#org79	#per137	undirected
#org80	#org80	undirected
#org80	#org80	undirected
#org80	#org80	undirected
#per138	#per14	undirected
#per138	#per14	undirected
#per138	#per2	undirected
#per138	#per2	undirected
#per138	#per2	undirected
#per138	#per134	undirected
#per138	#per2	undirected
#per138	#per2	undirected
#per138	#per2	undirected
#per138	#per2	undirected
#per138	#per3	undirected
#per138	#per3	undirected
#per138	#org53	undirected
#per138	#per3	undirected
#per138	#per3	undirected
#per138	#per138	undirected
#per138	#per385	undirected
#per138	#per227	undirected
#per138	#per3	undirected
#per227	#per2	undirected
#per227	#per2	undirected
#per227	#per3	undirected
#per227	#per138	undirected
#per227	#per385	undirected
#per227	#per227	undirected
#per227	#per3	undirected
#per3	#per2	undirected
#per3	#per2	undirected
#per3	#org53	undirected
#per3	#org53	undirected
#per3	#per138	undirected
#per3	#per138	undirected
#per3	#per3	undirected
#per3	#org0	undirected
#per3	#per138	undirected
#per3	#per385	undirected
#per3	#per227	undirected
#per3	#per131	undirected
#per3	#per131	undirected
#per3	#per131	undirected
#per3	#per131	undirected
#per3	#per131	undirected
#per3	#per131	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per131	undirected
#per3	#per131	undirected
#per3	#per131	undirected
#per3	#per131	undirected
#per3	#per131	undirected
#per3	#per131	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per4	undirected
#per3	#per132	undirected
#per3	#per132	undirected
#per3	#per132	undirected
#org84	#per2	undirected
#per149	#per2	undirected
#per149	#per2	undirected
#org83	#per2	undirected
#org83	#per14	undirected
#org83	#per14	undirected
#org83	#per14	undirected
#org83	#per136	undirected
#org83	#per136	undirected
#org83	#per136	undirected
#org83	#per14	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per2	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per14	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per14	undirected
#org83	#per136	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per14	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per136	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per136	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per132	undirected
#org83	#per159	undirected
#org83	#per136	undirected
#per136	#org83	undirected
#per136	#org83	undirected
#per136	#org83	undirected
#per136	#org83	undirected
#per136	#org83	undirected
#per136	#per132	undirected
#per136	#org83	undirected
#per136	#org83	undirected
#per136	#org83	undirected
#per136	#per132	undirected
#per136	#per159	undirected
#per136	#org83	undirected
#per136	#per136	undirected
#per136	#per4	undirected
#per136	#per4	undirected
#per136	#per4	undirected
#per136	#per4	undirected
#per136	#per4	undirected
#per136	#per4	undirected
#per136	#per4	undirected
#per136	#per4	undirected
#per136	#per4	undirected
#per136	#per4	undirected
#per136	#per4	undirected
#per132	#org83	undirected
#per132	#org83	undirected
#per132	#org83	undirected
#per132	#org83	undirected
#per132	#org83	undirected
#per132	#org83	undirected
#per132	#per136	undirected
#per132	#per136	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per132	#per4	undirected
#per159	#org83	undirected
#per159	#org83	undirected
#per159	#org83	undirected
#per159	#per136	undirected
#per159	#per136	undirected
#per131	#per4	undirected
#per131	#per4	undirected
#per131	#per3	undirected
#per131	#per3	undirected
#per131	#per3	undirected
#per131	#per3	undirected
#per131	#per3	undirected
#per131	#per3	undirected
#per131	#per3	undirected
#per131	#131	undirected
#per131	#per4	undirected
#per131	#per4	undirected
#per131	#per4	undirected
#per131	#per4	undirected
#per131	#per4	undirected
#per4	#per131	undirected
#per4	#per131	undirected
#per4	#per136	undirected
#per4	#per136	undirected
#per4	#per3	undirected
#per4	#per3	undirected
#per4	#per3	undirected
#per4	#per3	undirected
#per4	#per3	undirected
#per4	#per4	undirected
#per4	#per4	undirected
#per4	#org0	undirected
#per4	#org0	undirected
#per4	#per14	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#per16	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#per16	undirected
#per4	#per135	undirected
#per4	#per16	undirected
#per4	#per135	undirected
#per4	#per16	undirected
#per4	#per135	undirected
#per4	#per16	undirected
#per4	#per135	undirected
#per4	#per16	undirected
#per4	#per135	undirected
#per4	#per16	undirected
#per4	#per135	undirected
#per4	#per16	undirected
#per4	#per135	undirected
#per4	#org4	undirected
#per4	#per16	undirected
#per4	#per135	undirected
#per4	#per16	undirected
#per4	#per135	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#per132	undirected
#per4	#org0	undirected
#per4	#org0	undirected
#per4	#per131	undirected
#per4	#org0	undirected
#per4	#per131	undirected
#per4	#per4	undirected
#per4	#per14	undirected
#per4	#per14	undirected
#per4	#per14	undirected
#per4	#per14	undirected
#per4	#per4	undirected
#per4	#org4	undirected
#per4	#org4	undirected
#per4	#org4	undirected
#per4	#org4	undirected
#per4	#per131	undirected
#per4	#per131	undirected
#per4	#per131	undirected
#per4	#per131	undirected
#per4	#per131	undirected
#per4	#per131	undirected
#per4	#per131	undirected
#per4	#per124	undirected
#per4	#per125	undirected
#per4	#org88	undirected
#per4	#per135	undirected
#per4	#per16	undirected
#per4	#org88	undirected
#per4	#per135	undirected
#per4	#per16	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#org0	undirected
#per4	#org88	undirected
#per4	#org88	undirected
#per4	#org0	undirected
#per4	#org88	undirected
#per4	#per109	undirected
#per4	#org88	undirected
#per4	#org88	undirected
#per4	#per5	undirected
#per4	#org88	undirected
#per4	#per5	undirected
#per4	#org88	undirected
#per4	#per5	undirected
#per4	#org88	undirected
#per4	#per5	undirected
#per4	#org88	undirected
#per4	#per5	undirected
#per4	#org88	undirected
#per4	#org88	undirected
#per4	#org88	undirected
#per4	#org88	undirected
#per4	#org88	undirected
#per4	#org88	undirected
#per4	#per14	undirected
#per4	#per104	undirected
#per4	#per133	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#per104	undirected
#per4	#per152	undirected
#per4	#per72	undirected
#per4	#per104	undirected
#per4	#per152	undirected
#per4	#per72	undirected
#per4	#per104	undirected
#per4	#org88	undirected
#per4	#org88	undirected
#per4	#org88	undirected
#per4	#per109	undirected
#per4	#org88	undirected
#per4	#per109	undirected
#per4	#org88	undirected
#per4	#per124	undirected
#per4	#per125	undirected
#per4	#org88	undirected
#per4	#per124	undirected
#per4	#per125	undirected
#per4	#org88	undirected
#per4	#per124	undirected
#per4	#per125	undirected
#per4	#org88	undirected
#per4	#per5	undirected
#per4	#org88	undirected
#per4	#per5	undirected
#per4	#org88	undirected
#per4	#per5	undirected
#per4	#org88	undirected
#per4	#per5	undirected
#per4	#org88	undirected
#per4	#per5	undirected
#per4	#org88	undirected
#per4	#per127	undirected
#per4	#org88	undirected
#per4	#per126	undirected
#per4	#org88	undirected
#per4	#per126	undirected
#per4	#org88	undirected
#per4	#per181	undirected
#per4	#org88	undirected
#per4	#per181	undirected
#per4	#org88	undirected
#per4	#per14	undirected
#per4	#org88	undirected
#per4	#per120	undirected
#per4	#org88	undirected
#per4	#per121	undirected
#per4	#org88	undirected
#per4	#per122	undirected
#per4	#org88	undirected
#per4	#per104	undirected
#per4	#org88	undirected
#per4	#per104	undirected
#per4	#org88	undirected
#per4	#per104	undirected
#per4	#org88	undirected
#per4	#per104	undirected
#per4	#org88	undirected
#per4	#per104	undirected
#per4	#org88	undirected
#per4	#per128	undirected
#per4	#org88	undirected
#per4	#org88	undirected
#per4	#org88	undirected
#per4	#org88	undirected
#per4	#per104	undirected
#per4	#org88	undirected
#per4	#per104	undirected
#org53	#org87	undirected
#per385	#per3	undirected
#per385	#per138	undirected
#per385	#per385	undirected
#per385	#per227	undirected
#per385	#per3	undirected
#org87	#per3	undirected
#per109	#per14	undirected
#per109	#org0	undirected
#per109	#org0	undirected
#per109	#org0	undirected
#per109	#org88	undirected
#per109	#org88	undirected
#per109	#org88	undirected
#per109	#org88	undirected
#per109	#org88	undirected
#per109	#per4	undirected
#per16	#per4	undirected
#per16	#per4	undirected
#per16	#org0	undirected
#per16	#org0	undirected
#per16	#per135	undirected
#per16	#per135	undirected
#per16	#per14	undirected
#per16	#per14	undirected
#per16	#per4	undirected
#per16	#per4	undirected
#per16	#per4	undirected
#per16	#per132	undirected
#per135	#org0	undirected
#per135	#per16	undirected
#per135	#per4	undirected
#per135	#per14	undirected
#per135	#org0	undirected
#per135	#per4	undirected
#per135	#per4	undirected
#per135	#per4	undirected
#per35	#org0	undirected
#org89	#per4	undirected
#per32	#per4	undirected
#per139	#per150	undirected
#per139	#per4	undirected
#per139	#org88	undirected
#per139	#per4	undirected
#per139	#org88	undirected
#per139	#org63	undirected
#per139	#org63	undirected
#per139	#org63	undirected
#per150	#org88	undirected
#per150	#per4	undirected
#per150	#org88	undirected
#per150	#per4	undirected
#per150	#org88	undirected
#per150	#per4	undirected
#per150	#org63	undirected
#per150	#org63	undirected
#per150	#org63	undirected
#org88	#per139	undirected
#org88	#per150	undirected
#org88	#per139	undirected
#org88	#per150	undirected
#org88	#per139	undirected
#org88	#per150	undirected
#org88	#per139	undirected
#org88	#per150	undirected
#org88	#per104	undirected
#org88	#org88	undirected
#org88	#org88	undirected
#org88	#org88	undirected
#org88	#org0	undirected
#org88	#per4	undirected
#org88	#per104	undirected
#org88	#per104	undirected
#org88	#per104	undirected
#org88	#per104	undirected
#org88	#per104	undirected
#org88	#per104	undirected
#org88	#org88	undirected
#org88	#org88	undirected
#org88	#org88	undirected
#org88	#per4	undirected
#org88	#per4	undirected
#org88	#per104	undirected
#org88	#per4	undirected
#org88	#per104	undirected
#org88	#per4	undirected
#org88	#per4	undirected
#org88	#per4	undirected
#org88	#org88	undirected
#org88	#per189	undirected
#org88	#per189	undirected
#org88	#per189	undirected
#org88	#per104	undirected
#org88	#per189	undirected
#org88	#per189	undirected
#org88	#per189	undirected
#org88	#per104	undirected
#org88	#per104	undirected
#org88	#per4	undirected
#org88	#per4	undirected
#org88	#per4	undirected
#org88	#per4	undirected
#org88	#per104	undirected
#org88	#per133	undirected
#org88	#per133	undirected
#org88	#per133	undirected
#org88	#org88	undirected
#org88	#per104	undirected
#org88	#per104	undirected
#org88	#per104	undirected
#org88	#per104	undirected
#org88	#per104	undirected
#org88	#per104	undirected
#org88	#per104	undirected
#per124	#per4	undirected
#per125	#per4	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#per4	undirected
#per104	#org88	undirected
#per104	#per178	undirected
#per104	#per178	undirected
#per104	#per195	undirected
#per104	#per196	undirected
#per104	#per195	undirected
#per104	#per196	undirected
#per104	#per195	undirected
#per104	#per195	undirected
#per104	#per195	undirected
#per104	#per195	undirected
#per104	#per196	undirected
#per104	#per196	undirected
#per104	#per133	undirected
#per104	#per133	undirected
#per104	#per133	undirected
#per104	#per133	undirected
#per104	#per133	undirected
#per104	#per133	undirected
#per104	#per133	undirected
#per104	#per133	undirected
#per104	#per133	undirected
#per104	#per133	undirected
#per104	#per133	undirected
#per104	#per133	undirected
#per104	#per133	undirected
#per104	#per14	undirected
#per104	#per14	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#per189	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org94	undirected
#per104	#per189	undirected
#per104	#per189	undirected
#per104	#per189	undirected
#per104	#per189	undirected
#per104	#org88	undirected
#per104	#per5	undirected
#per104	#per5	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org94	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#per4	undirected
#per104	#org88	undirected
#per104	#per4	undirected
#per104	#org88	undirected
#per104	#per4	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#org88	undirected
#per104	#per4	undirected
#per104	#per133	undirected
#per104	#org88	undirected
#per104	#per4	undirected
#per104	#per133	undirected
#per104	#org88	undirected
#per104	#per4	undirected
#per104	#org88	undirected
#per104	#per4	undirected
#per104	#per133	undirected
#per104	#org65	undirected
#per104	#org65	undirected
#per104	#org65	undirected
#per104	#per4	undirected
#per104	#per4	undirected
#per104	#per4	undirected
#per104	#per4	undirected
#per104	#per72	undirected
#per104	#per152	undirected
#per104	#per4	undirected
#per104	#per72	undirected
#per104	#per152	undirected
#per104	#per4	undirected
#per104	#org94	undirected
#per104	#org94	undirected
#per104	#org88	undirected
#per5	#org88	undirected
#per5	#org88	undirected
#per5	#per193	undirected
#per5	#perper6	undirected
#per5	#per5	undirected
#per5	#per6	undirected
#per5	#per6	undirected
#per5	#per6	undirected
#per5	#per245	undirected
#per5	#org0	undirected
#per5	#org0	undirected
#per5	#per4	undirected
#per5	#per4	undirected
#per5	#per4	undirected
#per5	#per4	undirected
#per5	#per4	undirected
#per5	#per4	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per5	#per4	undirected
#per5	#per104	undirected
#per5	#per104	undirected
#per6	#per5	undirected
#per6	#per5	undirected
#per6	#per5	undirected
#per6	#org0	undirected
#per6	#org0	undirected
#per245	#org0	undirected
#per245	#per5	undirected
#per0	#org0	undirected
#per0	#per7	undirected
#per178	#per104	undirected
#per178	#per104	undirected
#per178	#org0	undirected
#per178	#org0	undirected
#per178	#per267	undirected
#per178	#per267	undirected
#per178	#per267	undirected
#per195	#per104	undirected
#per195	#per104	undirected
#per195	#per104	undirected
#per195	#per104	undirected
#per195	#per133	undirected
#per195	#per133	undirected
#per195	#per133	undirected
#per195	#per133	undirected
#per195	#per133	undirected
#per196	#per104	undirected
#per196	#per104	undirected
#per196	#per104	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#org94	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#org65	undirected
#per133	#per104	undirected
#per133	#org65	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#org88	undirected
#per133	#org88	undirected
#per133	#per104	undirected
#per133	#per104	undirected
#per133	#per4	undirected
#per133	#per104	undirected
#per189	#org88	undirected
#per189	#org88	undirected
#per189	#org88	undirected
#per189	#org88	undirected
#org94	#org94	undirected
#org63	#org63	undirected
