	GEN	EXO	LEV	NUM	DEU	JOS	JDG	RUT	1SA	2SA	1KI	2KI	EZR	NEH	EST	JOB	PSA	PRO	ECC	ISA	JER	LAM	EZE	DAN	HOS	JOE	AMO	OBA	JON	MIC	NAH	HAB	ZEP	HAG	ZEC	MAL	MAT	MAR	JOH	ACT	ROM	1CO	2CO	GAL	EPH	PHI	COL	1TH	2TH	1TI	2TI	TIT	PHM	HEB	JAM	1PE	2PE	1JO	2JO	3JO	JUD	REV
#per1312													31.78637,39.73923	32.162,35.30033																																																
#per1313																					32.49892,38.42151																																									
#per1314														31.78981,35.1649																																																
#per1315														31.76832,35.21371																																																
#per1316														31.76832,35.21371							29.36188,33.00302																																									
#per1317																																																														
#per1318																																																														
#per1319														33.18667,35.61917																																																
#per1320																																																														
#per1321																																																														
#per1322																																																														
#per1323																																																														
#per1324																																																														
#per1325																																																														
#per1326																																																														
#per1327																	31.86406,35.12113																																													
#per1328													31.85541,41.14006																																																	
#per1329													32.48117,42.23814																																																	
#per1330													31.83853,36.92635																																																	
#per1331																																																														
#per1332													32.00035,35.22816																																																	
#per1333																																																														
#per1334													31.04605,34.85161																																																	
#per1335																																																														
#per1336																																																														
#per1337																																																														
#per1338																																																														
#per1339																																																														
#per1340																																																														
#per1341																																																														
#per1342																																																														
#per1343																																																														
#per1344																																																														
#per1345																																																														
#per1346																																																														
#per1347																																																														
#per1348																																																														
#per1349																																																														
#per1350													31.50402,35.77057																																																	
#per1351																																																														
#per1352																																																														
#per1353												32.11004,38.28387									31.74663,36.81962																																									
#per1354													32.42791,53.68805																																																	
#per1355																																																														
#per1356																																																														
#per1357																																																														
#per1358																																																														
#per1359																																																														
#per1360													32.42791,53.68805																																																	
#per1361													31.83853,36.92635																																																	
#per1362													36.09917,43.3275																																																	
#per1363																																																														
#per1364																																																														
#per1365																																																														
#per1366																																																														
#per1367																																																														
#per1368																																																														
#per1369																																																														
#per1370																																																														
#per1371																																																														
#per1372																																																														
#per1373																																																														
#per1374																																																														
#per1375																																																														
#per1376																																																														
#per1377																																																														
#per1378																																																														
#per1379																																																														
#per1380																																																														
#per1381																																																														
#per1382																																																														
#per1383													31.04605,34.85161																																																	
#per1384																																																														
#per1385																																																														
#per1386													32.42791,53.68805																																																	
#per1387																																																														
#per1388																																																														
#per1389													31.04605,34.85161																																																	
#per1390																																																														
#per1391																																																														
#per1392																																																														
#per1393																																																														
#per1394																																																														
#per1395																																																														
#per1396																																																														
#per1397																																																														
#per1398																																																														
#per1399																																																														
#per1400																																																														
#per1401																																																														
#per1402																																																														
#per1403																																																														
#per1404																																																														
#per1405												32.11004,38.28387									31.98918,37.04973																																									
#per1406																																																														
#per1407																																																														
#per1408																																																														
#per1409																																																														
#per1410																																																														
#per1411																																																														
#per1412																																																														
#per1413																																																														
#per1414																																																														
#per1415																																																														
#per1416																																																														
#per1417																																																														
#per1418																																																			39.55522,34.12658											
#per1419																																																														
#per1420																																																														
#per1421																																																			39.55522,34.12658											
#per1422																																																														
#per1423																																																			39.75172,26.15879											
#per1424																																																														
#per1425																																																														
#per1426																																																														
#per1427																																																														
#per1428																																																			40.64006,22.94442											
#per1429																																																														
#per1430																																																														
#per1431																																																														
#per1432																																																														
#per1433												31.81484,37.42513									31.74663,36.81962																																									
#per1434												32.21346,39.82403									31.98918,37.04973																																									
#per1435												32.21346,39.82403									30.61409,34.10145																																									
#per1436												32.08921,37.06393									31.98677,37.22742																																									
#per1437												32.07111,38.28296									32.20711,37.08646																																									
#per1438																					32.86422,40.02541																																									
#per1439																																																														
#per1440																				30.22831,36.57367	32.24222,35.35383																																									
#per1441																					32.35,37.61702																																									
#per1442																																																														
#per1443																					32.54178,44.43164																																									
#per1444																					31.77906,35.18931																																									
#per1445																					32.86422,40.02541																																									
#per1446																					32.49892,38.42151																																									
#per1447																																																														
#per1448																					32.57157,27.06146																																									
#per1449																																																														
#per1450																					31.78981,35.1649																																									
#per1451												31.88514,35.21642									31.88514,35.21642																																									
#per1452																																																														
#per1453												31.76832,35.21371									26.82055,30.8025																																									
#per1454																																																														
#per1455												31.76832,35.21371									26.82055,30.8025																																									
#per1456												31.76832,35.21371									31.76832,35.21371																																									
#per1457																					32.54178,44.43164																																									
#per1458																																																														
#per1459																					32.54178,44.43164																																									
#per1460																					32.2225,39.81759																																									
#per1461																					31.78981,35.1649																																									
#per1462												31.97606,35.22201									31.76832,35.21371																																									
#per1463																					31.04605,34.85161																																									
#per1464																																																														
#per1465																																																														
#per1466																																																														
#per1467																					32.54178,44.43164																																									
#per1468																																																														
#per1469																																																														
#per1470																																																														
#per1471																																																														
#per1472												32.21346,39.82403									31.88514,35.21642																																									
#per1473																					29.65478,50.80403																																									
#per1474																					30.81237,36.10318																																									
#per1475											31.04605,34.85161																																																			
#per1476																					33.24035,35.29587																																									
#per1477																																																														
#per1478												31.76832,35.21371									31.76832,35.21371																																									
#per1479																																																														
#per1480												32.2225,39.81759									32.54178,44.43164																																									
#per1481																					32.54178,44.43164																																									
#per1482																																																														
#per1483																					32.54178,44.43164																																									
#per1484																																																														
#per1485																																																														
#per1486																					33.18667,35.61917																																									
#per1487																					31.88514,35.21642																																									
#per1488												32.11004,38.28387																																																		
#per1489																					32.51706,35.40126																																									
#per1490																																																														
#per1491																					29.68117,37.61707																																									
#per1492																																																														
#per1493																																																														
#per1494																																																														
#per1495																																																														
#per1496																																																														
#per1497																											31.80519,35.05744																																			
#per1498																											31.63029,35.09263																																			
#per1499																																																														
#per1500																																																														
#per1501																																																														
#per1502																																																														
#per1503																											31.49383,35.03717																																			
#per1504			31.04605,34.85161																																																											
#per1505																																																														
#per1506																																												31.04605,34.85161																		
#per1507																																												31.04605,34.85161																		
#per1508											31.91226,35.16069																																																			
#per1509											31.73446,35.07717	31.47463,35.02758																																																		
#per1510											31.04605,34.85161	31.78494,34.8851																																																		
#per1511											29.92327,33.61922	31.6336,34.9557																																																		
#per1512											31.79071,35.11929	31.40718,35.03266																																																		
#per1513											31.47463,35.02758																																																			
#per1514											31.04605,34.85161																																																			
#per1515											31.57253,35.08962																																																			
#per1516											31.85879,35.34097																																																			
#per1517											31.04605,34.85161																																																			
#per1518																																																														
#per1519																																																														
#per1520											29.29444,33.0081																																																			
#per1521																																																														
#per1522											30.83733,34.93892																																																			
#per1523											31.04605,34.85161	31.04605,34.85161																																																		
#per1524											32.42288,35.30272																																																			
#per1525											31.04605,34.85161																																																			
#per1526											32.30156,35.11228																																																			
#per1527												31.40718,35.03266																																																		
#per1528																																																														
#per1529											34.15794,37.63667	32.50341,35.85961																																																		
#per1530											31.83577,35.20862																																																			
#per1531											31.76832,35.21371																																																			
#per1532																																																														
#per1533											31.76832,35.21371																																																			
#per1534																																																														
#per1535																																																														
#per1536																																																														
#per1537											31.76832,35.21371																																																			
#per1538											33.16186,35.45896																																																			
#per1539																																																														
#per1540																																																														
#per1541											31.90135,35.34225																																																			
#per1542											32.71854,35.35192																																																			
#per1543																																																														
#per1544																																																														
#per1545											31.44375,34.75094	31.83092,35.04245																																																		
#per1546											31.40718,35.03266																																																			
#per1547																																																														
#per1548																																																														
#per1549											33.83418,36.96417																																																			
#per1550											33.17115,35.24186																																																			
#per1551																																																														
#per1552																																																														
#per1553																																																														
#per1554																																																														
#per1555											31.47463,35.02758																																																			
#per1556																																																														
#per1557											31.47463,35.02758																																																			
#per1558											31.90135,35.34225																																																			
#per1559																																																														
#per1560											31.79071,35.11929	32.41544,35.71964																																																		
#per1561											31.90135,35.34225																																																			
#per1562											31.57253,35.08962																																																			
#per1563											31.04605,34.85161	32.1265,35.66489																																																		
#per1564											32.41631,35.76637																																																			
#per1565											31.04605,34.85161	33.45476,37.4327																																																		
#per1566																																																														
#per1567											33.12064,36.70832																																																			
#per1568																																																														
#per1569																																																														
#per1570											30.96139,34.69357																																																			
#per1571											31.42085,34.44739																																																			
#per1572																																																														
#per1573											32.40996,36.63746																																																			
#per1574																																																														
#per1575																																																														
#per1576																																																														
#per1577											33.85472,35.86228																																																			
#per1578																																																														
#per1579											33.02843,35.55394																																																			
#per1580											31.57969,35.07335																																																			
#per1581																																																														
#per1582											32.11636,35.23539																																																			
#per1583											32.79275,37.59002																																																			
#per1584											31.76832,35.21371																																																			
#per1585											32.80881,35.87071																																																			
#per1586											33.83418,36.96417																																																			
#per1587											31.04605,34.85161	32.08303,35.48169																																																		
#per1588											31.04605,34.85161																																																			
#per1589																																																														
#per1590											31.04605,34.85161																																																			
#per1591											32.57174,29.34978																																																			
#per1592											31.73446,35.07717																																																			
#per1593											31.74575,35.12268																																																			
#per1594											31.73446,35.07717																																																			
#per1595												33.57261,39.08956								33.07812,39.5441																																										
#per1596												32.38851,35.91368								32.72412,36.1792																																										
#per1597												32.54178,44.43164								32.54178,44.43164																																										
#per1598																				31.52746,35.87977																																										
#per1599												33.44588,37.73323								32.99685,36.42265																																										
#per1600																				32.67789,36.71098																																										
#per1601																				31.52746,35.87977																																										
#per1602																																																														
#per1603																				34.01195,38.30225																																										
#per1604																				33.45188,37.53384																																										
#per1605																				32.72412,36.1792																																										
#per1606																				39.70244,44.29908																																										
#per1607																				31.90322,35.20354																																										
#per1608																																																														
#per1609																																																														
#per1610																																																														
#per1611												32.54178,44.43164								32.54178,44.43164																																										
#per1612																																																														
#per1613																				39.70244,44.29908																																										
#per1614																																																														
#per1615																				9.145,40.48967																																										
#per1616																				24.02157,38.20656																																										
#per1617																				39.70244,44.29908																																										
#per1618																																																														
#per1619																																																														
#per1620																				39.70244,44.29908																																										
#per1621																				31.52746,35.87977																																										
#per1622																																																														
#per1623																																																														
#per1624																																																														
#per1625												32.12321,35.30825																																																		
#per1626												31.39895,35.03144																																																		
#per1627												31.97606,35.22201																																																		
#per1628												31.76832,35.21371																																																		
#per1629												32.37651,37.4327																																																		
#per1630												32.73442,36.58967																																																		
#per1631												34.80649,39.80201																																																		
#per1632												33.28835,36.72233																																																		
#per1633												32.86783,37.17134																																																		
#per1634												31.79071,35.11929																																																		
#per1635												31.82661,37.79578																																																		
#per1636												31.98357,35.23338																																																		
#per1637												31.76832,35.21371																																																		
#per1638												32.93431,36.45887																																																		
#per1639												31.79071,35.11929																																																		
#per1640												32.31057,37.90263																																																		
#per1641																																																														
#per1642												31.57253,35.08962																																																		
#per1643												36.44455,39.95912																																																		
#per1644												36.44455,39.95912																																																		
#per1645																																																														
#per1646												36.44455,39.95912																																																		
#per1647												31.76832,35.21371																																																		
#per1648												36.44455,39.95912																																																		
#per1649												21.97354,39.74324																																																		
#per1650												31.76832,35.21371																																																		
#per1651												31.64781,36.13681																																																		
#per1652												31.76832,35.21371																																																		
#per1653																																																														
#per1654												31.76832,35.21371																																																		
#per1655												33.18667,35.61917																																																		
#per1656												31.76832,35.21371																																																		
#per1657																																																														
#per1658												31.76832,35.21371																																																		
#per1659																																																														
#per1660												31.57253,35.08962																																																		
#per1661												31.76832,35.21371																																																		
#per1662												32.07111,38.28296																																																		
#per1663																																																														
#per1664																																																														
#per1665												31.64781,36.13681																																																		
#per1666												32.281,37.2385																																																		
#per1667																																																														
#per1668												32.54494,35.41135																																																		
#per1669																																																														
#per1670												32.34116,35.71219																																																		
#per1671																																																														
#per1672																																																														
#per1673												31.5136,35.00574																																																		
#per1674																																																														
#per1675												31.76832,35.21371																																																		
#per1676												31.76832,35.21371																																																		
#per1677												31.76832,35.21371																																																		
#per1678																																																														
#per1679																																																														
#per1680												31.76832,35.21371																																																		
#per1681												32.42288,35.30272																																																		
#per1682												31.76832,35.21371																																																		
#per1683												31.45986,37.065																																																		
#per1684												31.76832,35.21371																																																		
#per1685												32.54494,35.41135																																																		
#per1686												31.40718,35.03266																																																		
#per1687																																																														
#per1688												31.76832,35.21371																																																		
#per1689																																																														
#per1690												31.76832,35.21371																																																		
#per1691																																																														
#per1692												31.74927,35.00142																																																		
#per1693												32.02043,35.65959																																																		
#per1694												32.25855,35.75604																																																		
#per1695												31.20997,35.0533																																																		
#per1696												31.20997,35.0533																																																		
#per1697												31.04605,34.85161																																																		
#per1698												31.35636,34.70914																																																		
#per1699												31.35636,34.70914																																																		
#per1700												32.11403,35.40571																																																		
#per1701												32.53663,35.86801																																																		
#per1702												32.32122,36.15782																																																		
#per1703												32.757,36.38372																																																		
#per1704												32.757,36.38372																																																		
#per1705												32.74189,36.14434																																																		
#per1706												31.04605,34.85161																																																		
#per1707												32.37992,36.06642																																																		
#per1708												33.45476,37.4327																																																		
#per1709												32.54494,35.41135																																																		
#per1710												31.76832,35.21371																																																		
#per1711												31.76832,35.21371																																																		
#per1712												31.78512,35.1429																																																		
#per1713												32.4516,35.88695																																																		
#per1714												32.80386,35.67688																																																		
#per1715												31.57253,35.08962																																																		
#per1716												31.78512,35.1429																																																		
#per1717												32.16305,35.25313																																																		
#per1718												31.65837,35.89757																																																		
#per1719												32.42288,35.30272																																																		
#per1720												31.76832,35.21371																																																		
#per1721												33.35265,37.10018																																																		
#per1722												31.29193,35.15414																																																		
#per1723												31.79071,35.11929																																																		
#per1724												33.18667,35.61917																																																		
#per1725												31.83577,35.20862																																																		
#per1726															26.73884,44.51279																																															
#per1727															32.60346,45.85383																																															
#per1728															32.60346,45.85383																																															
#per1729															32.42791,53.68805																																															
#per1730																																																														
#per1731															32.42791,53.68805																																															
#per1732																																																														
#per1733															32.31185,50.97116																																															
#per1734															32.31185,50.97116																																															
#per1735															32.42791,53.68805																																															
#per1736																																																														
#per1737															32.42791,53.68805																																															
#per1738																																																														
#per1739																																																														
#per1740																																																														
#per1741																																																														
#per1742																																																														
#per1743																																																														
#per1744																																																														
#per1745																																																														
#per1746																																																														
#per1747																																																														
#per1748																																																														
#per1749															32.42791,53.68805																																															
#per1750															32.42791,53.68805																																															
#per1751																																																														
#per1752																																																														
#per1753																																																														
#per1754																																																														
#per1755																																																														
#per1756																																																														
#per1757																																																														
#per1758															32.42791,53.68805																																															
#per1759															32.42791,53.68805																																															
#per1760															32.42791,53.68805																																															
#per1761																																																														
#per1762				31.76832,35.21371											32.19579,48.25428																																															
#per1763															32.19579,48.25428																																															
#per1764															32.19579,48.25428																																															
#per1765																																																														
#per1766																																																														
#per1767																																																														
#per1768				28.57941,35.76646																																																										
#per1769																																																														
#per1770																																																														
#per1771				30.77778,34.64476																																																										
#per1772				30.77778,34.64476																																																										
#per1773																																																														
#per1774																																																														
#per1775																																																														
#per1776																																																														
#per1777																																																														
#per1778																																																														
#per1779																																																														
#per1780																																																														
#per1781																																																														
#per1782																																																														
#per1783																																																														
#per1784																																																														
#per1785				28.57941,35.76646																																																										
#per1786																																																														
#per1787																																																														
#per1788				28.57941,35.76646																																																										
#per1789				28.57941,35.76646																																																										
#per1790				28.57941,35.76646																																																										
#per1791				28.57941,35.76646																																																										
#per1792																																																														
#per1793																																																														
#per1794																																																														
#per1795																																																														
#per1796																																																														
#per1797				31.77152,35.79783																																																										
#per1798																																																														
#per1799																																																														
#per1800																																																														
#per1801																																																														
#per1802																																																														
#per1803																																																														
#per1804																																																														
#per1805				30.64624,33.44825																																																										
#per1806																																																														
#per1807																																																														
#per1808																																																														
#per1809																																																														
#per1810																																																														
#per1811																																																														
#per1812																																																														
#per1813																																																														
#per1814																																																														
#per1815																																																														
#per1816																																																														
#per1817																																																														
#per1818																																																														
#per1819																																																														
#per1820																																																														
#per1821																																																														
#per1822																																																														
#per1823																																																														
#per1824																																																														
#per1825																																																														
#per1826																																																														
#per1827																																																														
#per1828																																																														
#per1829																																																														
#per1830																																																														
#per1831																																																														
#per1832																																																														
#per1833																																																														
#per1834																																																														
#per1835																																																														
#per1836																																																														
#per1837																																																														
#per1838																																																														
#per1839																																																														
#per1840																																																														
#per1841																																																														
#per1842																																																														
#per1843																																																														
#per1844																																																														
#per1845																																																														
#per1846																																																														
#per1847																																																														
#per1848																																																														
#per1849																																																														
#per1850																																																														
#per1851																																																														
#per1852																																																														
#per1853																																																														
#per1854																																																														
#per1855																																																														
#per1856																																																														
#per1857				29.5,34.0																																																										
#per1858																																																														
#per1859																																																														
#per1860																																																														
#per1861																																																														
#per1862																																																														
#per1863																																																														
#per1864																																																														
#per1865																																																														
#per1866																																																														
#per1867																																																														
#per1868																																																														
#per1869																																																														
#per1870																																																														
#per1871																																																														
#per1872																		31.04605,34.85161																																												
#per1873																		31.04605,34.85161																																												
#per1874																																															35.54071,35.79527															
#per1875																																																														
