	GEN	EXO	LEV	NUM	DEU	JOS	JDG	RUT	1SA	2SA	1KI	2KI	EZR	NEH	EST	JOB	PSA	PRO	ECC	ISA	JER	LAM	EZE	DAN	HOS	JOE	AMO	OBA	JON	MIC	NAH	HAB	ZEP	HAG	ZEC	MAL	MAT	MAR	JOH	ACT	ROM	1CO	2CO	GAL	EPH	PHI	COL	1TH	2TH	1TI	2TI	TIT	PHM	HEB	JAM	1PE	2PE	1JO	2JO	3JO	JUD	REV
#per87																																																														
#per88																																																														
#per89																																																														
#per90																																																														
#per91																																																														
#per92								31.04605,34.85161																																																						
#per93								29.85733,33.61885																																																						
#per94																																																														
#per95									31.64315,35.1374	31.04605,34.85161	31.04605,34.85161																																																			
#per96										31.57253,35.08962																																																				
#per97																																																														
#per98																																																														
#per99																																																														
#per100																				33.45083,35.98185																																										
#per101																																																														
#per102																																																														
#per103																																							31.93524,35.2198																							
#per104	31.66538,34.86182	26.82055,30.8025		32.51774,35.88899		31.17862,34.91947											26.82055,30.8025										31.9416,35.22273													26.82055,30.8025																						
#per105																																																														
#per106																																							31.76233,35.25164																							
#per107																																							31.76233,35.25164																							
#per108																																							31.76233,35.25164																							
#per109	31.84903,34.91819					31.11613,36.03042																																																								
#per110																																																														
#per111																																																														
#per112																																								30.61756,36.99837																						
#per113	29.65478,50.80403																																																													
#per114																																																														
#per115																																																														
#per116																																																														
#per117																																																														
#per118																																																								32.54178,44.43164						
#per119																																																														
#per120	36.8775,39.03389					31.97198,35.79728			31.90322,35.20354																																																					
#per121	36.8775,39.03389					33.17115,35.24186																																																								
#per122						33.02843,35.55394																																																								
#per123																																																														
#per124	31.99243,35.09801					31.30865,35.03964																																																								
#per125	33.71639,36.52984			26.82055,30.8025		31.04605,34.85161							31.04605,34.85161	32.11636,35.23539																																																
#per126	36.8775,39.03389					32.71854,35.35192																																																								
#per127	35.21728,37.20342					32.79324,35.1171																																																								
#per128	29.43805,33.04601					31.56549,35.46192			31.74739,35.17351			26.82055,30.8025					32.57496,35.29153																		31.84648,35.25386																											
#per129																																																														
#per130																								32.42791,53.68805																																						
#per131	32.76496,36.21568				30.49617,35.57679	28.50286,33.05954											31.76832,35.21371											31.64887,35.26212																																		
#per132	33.68017,36.73067																																																													
#per133	30.61088,33.47052																																							26.82055,30.8025																						
#per134	30.71372,35.98729																																											29.5,34.0																		
#per135	33.10241,36.16119							31.37572,35.02703																																																						
#per136	32.64258,38.0582																																																													
#per137	30.35851,36.46364																																																													
#per138	31.31746,34.71909																																																													
#per139	32.13583,35.27782					30.02757,33.64007																																																								
#per140	31.39694,34.94819																																																													
#per141	34.53375,43.48374					30.81561,35.54501																																																								
#per142																																																														
#per143	30.045,33.62993																																											26.91991,38.88758																		
#per144	32.05556,35.28953									31.04605,34.85161																																																				
#per145																																																														
#per146	31.53378,35.09922																																																													
#per147																																																														
#per148	31.50889,40.69698																																																													
#per149	31.70771,35.16266																						31.04605,34.85161																	31.87556,35.18236																						
#per150	32.13583,35.27782					30.02757,33.64007	32.21611,35.26611																																																							
#per151																																																														
#per152	29.97405,33.64788					32.88808,29.54236																																																								
#per153	31.70771,35.16266																																																													
#per154																																																														
#per155																																																														
#per156	31.50889,40.69698					30.81561,35.54501																																		30.96222,46.10444																						
#per157																																																														
#per158	32.05556,35.28953																																																													
#per159	34.46653,37.16171																																																													
#per160	32.05556,35.28953																																																													
#per161	33.71639,36.52984																																																													
#per162	32.05556,35.28953																																																													
#per163																																																														
#per164																																																														
#per165																																																														
#per166																																																														
#per167																																																														
#per168																																																														
#per169																																																														
#per170																																																														
#per171																																																														
#per172	32.05556,35.28953																																																													
#per173	36.8775,39.03389																																																													
#per174	32.05556,35.28953																																																													
#per175																																																														
#per176																																																														
#per177																																																														
