	Source	Target	Weight	Type	book
60	#org133	#pla41	0.0	Undirected	NAH
61	#per14	#pla4	0.0	Undirected	NAH
62	#org70	#pla4	0.0	Undirected	NAH
63	#per20	#per643	0.0	Undirected	NAH
64	#pla296	#pla5	0.0	Undirected	NAH
65	#pla297	#pla5	0.0	Undirected	NAH
66	#org24	#pla41	0.0	Undirected	NAH
67	#org100	#org13	0.0	Undirected	NAH
68	#org70	#pla41	0.0	Undirected	NAH
69	#org13	#pla4	0.0	Undirected	NAH
70	#pla20	#pla293	0.0	Undirected	NAH
71	#org100	#org122	0.0	Undirected	NAH
72	#org65	#per14	0.0	Undirected	NAH
73	#org122	#per14	0.0	Undirected	NAH
74	#per14	#pla294	0.0	Undirected	NAH
75	#per643	#pla154	0.0	Undirected	NAH
76	#org101	#pla4	0.0	Undirected	NAH
77	#org65	#per643	0.0	Undirected	NAH
78	#per14	#pla90	0.0	Undirected	NAH
79	#org70	#pla84	0.0	Undirected	NAH
80	#org13	#pla20	0.0	Undirected	NAH
81	#org103	#org13	0.0	Undirected	NAH
82	#org13	#org19	2.0794415416798357	Undirected	NAH
83	#org65	#org70	0.0	Undirected	NAH
84	#org100	#org24	0.0	Undirected	NAH
85	#per14	#per4	0.0	Undirected	NAH
86	#pla131	#pla295	0.0	Undirected	NAH
87	#org100	#org133	2.0794415416798357	Undirected	NAH
88	#org133	#pla161	0.0	Undirected	NAH
89	#org101	#org70	4.1588830833596715	Undirected	NAH
90	#org0	#org70	0.0	Undirected	NAH
91	#org70	#pla156	0.0	Undirected	NAH
92	#org0	#pla20	3.295836866004329	Undirected	NAH
93	#per4	#pla4	0.0	Undirected	NAH
94	#org18	#per14	0.0	Undirected	NAH
95	#org101	#org24	0.0	Undirected	NAH
96	#pla161	#pla5	0.0	Undirected	NAH
97	#per14	#pla295	0.0	Undirected	NAH
98	#org24	#pla90	0.0	Undirected	NAH
99	#org13	#per4	0.0	Undirected	NAH
100	#org18	#per643	0.0	Undirected	NAH
101	#org100	#org70	0.0	Undirected	NAH
102	#org70	#per20	0.0	Undirected	NAH
103	#pla161	#pla296	0.0	Undirected	NAH
104	#pla154	#pla156	0.0	Undirected	NAH
105	#per643	#pla156	0.0	Undirected	NAH
106	#org103	#per14	0.0	Undirected	NAH
107	#per14	#pla20	4.1588830833596715	Undirected	NAH
108	#per14	#pla161	0.0	Undirected	NAH
109	#per14	#per20	0.0	Undirected	NAH
110	#org24	#org65	0.0	Undirected	NAH
111	#org103	#per643	0.0	Undirected	NAH
112	#org19	#org70	2.0794415416798357	Undirected	NAH
113	#org103	#org70	0.0	Undirected	NAH
114	#org13	#org18	0.0	Undirected	NAH
115	#org70	#per643	9.887510598012987	Undirected	NAH
116	#org100	#per643	3.295836866004329	Undirected	NAH
117	#org70	#per14	9.887510598012987	Undirected	NAH
118	#per643	#pla297	0.0	Undirected	NAH
119	#org133	#pla131	0.0	Undirected	NAH
120	#org13	#pla84	0.0	Undirected	NAH
121	#org100	#per14	3.295836866004329	Undirected	NAH
122	#org13	#per14	9.887510598012987	Undirected	NAH
123	#per643	#pla161	0.0	Undirected	NAH
124	#org133	#pla20	3.295836866004329	Undirected	NAH
125	#org101	#org13	4.1588830833596715	Undirected	NAH
126	#org101	#per4	0.0	Undirected	NAH
127	#pla296	#pla297	0.0	Undirected	NAH
128	#pla156	#pla294	0.0	Undirected	NAH
129	#org101	#per14	5.375278407684165	Undirected	NAH
130	#org122	#org70	0.0	Undirected	NAH
131	#per643	#pla295	0.0	Undirected	NAH
132	#org101	#per643	5.375278407684165	Undirected	NAH
133	#org13	#pla41	0.0	Undirected	NAH
134	#pla161	#pla297	0.0	Undirected	NAH
0	#org22	#per644	0.0	Undirected	HAB
1	#org65	#per14	0.0	Undirected	HAB
2	#per14	#pla15	0.0	Undirected	HAB
3	#per14	#per644	11.966952139692824	Undirected	HAB
4	#per14	#wor8	2.0794415416798357	Undirected	HAB
5	#per14	#tim3	0.0	Undirected	HAB
6	#org0	#org19	8.49964003216865	Undirected	HAB
7	#pla126	#pla41	0.0	Undirected	HAB
8	#per644	#per645	0.0	Undirected	HAB
9	#per644	#pla30	0.0	Undirected	HAB
10	#org18	#wor1	0.0	Undirected	HAB
11	#org136	#per644	0.0	Undirected	HAB
12	#org133	#per644	0.0	Undirected	HAB
13	#per644	#pla298	0.0	Undirected	HAB
14	#pla30	#pla41	0.0	Undirected	HAB
15	#pla126	#pla298	0.0	Undirected	HAB
16	#org19	#pla156	0.0	Undirected	HAB
17	#org14	#wor8	0.0	Undirected	HAB
18	#org19	#pla15	0.0	Undirected	HAB
19	#org0	#org18	2.0794415416798357	Undirected	HAB
20	#org0	#pla41	5.375278407684165	Undirected	HAB
21	#org0	#org70	0.0	Undirected	HAB
22	#per644	#tim3	0.0	Undirected	HAB
23	#org19	#pla30	0.0	Undirected	HAB
24	#org0	#org14	0.0	Undirected	HAB
25	#org0	#wor8	2.0794415416798357	Undirected	HAB
26	#org0	#per14	9.534161491043838	Undirected	HAB
27	#org14	#per644	0.0	Undirected	HAB
28	#org18	#per14	3.295836866004329	Undirected	HAB
29	#per644	#pla249	0.0	Undirected	HAB
30	#per644	#pla41	6.591673732008658	Undirected	HAB
31	#pla298	#pla41	0.0	Undirected	HAB
32	#org14	#per14	0.0	Undirected	HAB
33	#org100	#org70	0.0	Undirected	HAB
34	#per14	#pla156	0.0	Undirected	HAB
35	#per644	#pla126	0.0	Undirected	HAB
36	#per14	#wor1	0.0	Undirected	HAB
37	#org24	#org70	0.0	Undirected	HAB
38	#org0	#pla30	0.0	Undirected	HAB
39	#per644	#pla15	0.0	Undirected	HAB
40	#org65	#per644	0.0	Undirected	HAB
41	#org22	#pla41	0.0	Undirected	HAB
42	#org19	#wor1	0.0	Undirected	HAB
43	#per14	#pla41	6.591673732008658	Undirected	HAB
44	#org70	#per644	6.238324625039507	Undirected	HAB
45	#org18	#org19	3.295836866004329	Undirected	HAB
46	#org64	#per644	2.0794415416798357	Undirected	HAB
47	#org19	#pla41	4.1588830833596715	Undirected	HAB
48	#per644	#pla156	0.0	Undirected	HAB
49	#pla249	#pla299	0.0	Undirected	HAB
50	#org70	#per14	6.238324625039507	Undirected	HAB
51	#org64	#org70	2.0794415416798357	Undirected	HAB
52	#per14	#pla299	0.0	Undirected	HAB
53	#org64	#pla41	0.0	Undirected	HAB
54	#org24	#per644	0.0	Undirected	HAB
55	#per644	#wor1	0.0	Undirected	HAB
56	#org100	#per14	0.0	Undirected	HAB
57	#org0	#per644	9.534161491043838	Undirected	HAB
58	#org19	#per644	8.987196820661973	Undirected	HAB
59	#org19	#per14	8.987196820661973	Undirected	HAB
60	#org136	#per14	0.0	Undirected	HAB
61	#pla156	#pla41	0.0	Undirected	HAB
62	#org22	#per14	0.0	Undirected	HAB
63	#org24	#per14	0.0	Undirected	HAB
64	#org100	#per644	0.0	Undirected	HAB
65	#org18	#pla15	0.0	Undirected	HAB
66	#per14	#pla126	0.0	Undirected	HAB
67	#org19	#org70	0.0	Undirected	HAB
68	#org0	#pla15	0.0	Undirected	HAB
69	#per644	#pla299	0.0	Undirected	HAB
70	#per14	#pla298	0.0	Undirected	HAB
71	#org64	#per14	2.0794415416798357	Undirected	HAB
72	#org18	#per644	3.295836866004329	Undirected	HAB
73	#org70	#pla41	0.0	Undirected	HAB
74	#per14	#pla249	0.0	Undirected	HAB
75	#per14	#pla30	0.0	Undirected	HAB
76	#org133	#per14	0.0	Undirected	HAB
77	#per644	#wor8	2.0794415416798357	Undirected	HAB
78	#org0	#pla156	0.0	Undirected	HAB
