	Source	Target	Type	Weight	book
72	#org64	#pla41	Undirected	0.0	ZEP
73	#org19	#pla15	Undirected	0.0	ZEP
74	#per14	#pla15	Undirected	0.0	ZEP
75	#org0	#org18	Undirected	2.0794415416798357	ZEP
76	#org14	#per644	Undirected	0.0	ZEP
77	#org136	#per14	Undirected	0.0	ZEP
78	#pla298	#pla41	Undirected	0.0	ZEP
0	#per14	#pla16	Undirected	0.0	ZEP
1	#org137	#org63	Undirected	0.0	ZEP
2	#org0	#org14	Undirected	2.0794415416798357	ZEP
3	#per627	#pla268	Undirected	0.0	ZEP
4	#pla3	#pla72	Undirected	2.0794415416798357	ZEP
5	#per650	#pla3	Undirected	0.0	ZEP
6	#per627	#pla269	Undirected	0.0	ZEP
7	#org18	#tim2	Undirected	2.0794415416798357	ZEP
8	#org0	#tim18	Undirected	0.0	ZEP
9	#org82	#per14	Undirected	2.0794415416798357	ZEP
10	#org0	#org119	Undirected	0.0	ZEP
11	#per627	#pla16	Undirected	0.0	ZEP
12	#org101	#org70	Undirected	2.0794415416798357	ZEP
13	#org70	#pla72	Undirected	3.295836866004329	ZEP
14	#per646	#per74	Undirected	0.0	ZEP
15	#per646	#per648	Undirected	0.0	ZEP
16	#org122	#per14	Undirected	0.0	ZEP
17	#org70	#tim2	Undirected	0.0	ZEP
18	#pla268	#pla269	Undirected	0.0	ZEP
19	#org0	#org137	Undirected	0.0	ZEP
20	#org18	#tim18	Undirected	0.0	ZEP
21	#per627	#tim18	Undirected	0.0	ZEP
22	#org103	#pla41	Undirected	0.0	ZEP
23	#per14	#pla17	Undirected	0.0	ZEP
24	#per648	#per649	Undirected	0.0	ZEP
25	#per627	#pla72	Undirected	3.295836866004329	ZEP
26	#org53	#org63	Undirected	0.0	ZEP
27	#org122	#per627	Undirected	0.0	ZEP
28	#per14	#pla4	Undirected	4.828313737302301	ZEP
29	#per627	#pla267	Undirected	2.0794415416798357	ZEP
30	#org82	#pla4	Undirected	2.0794415416798357	ZEP
31	#org0	#org53	Undirected	0.0	ZEP
32	#per627	#tim2	Undirected	5.375278407684165	ZEP
33	#org63	#pla84	Undirected	0.0	ZEP
34	#pla267	#pla84	Undirected	0.0	ZEP
35	#per272	#pla17	Undirected	0.0	ZEP
36	#per14	#pla267	Undirected	2.0794415416798357	ZEP
37	#org0	#per73	Undirected	0.0	ZEP
38	#org100	#per14	Undirected	3.295836866004329	ZEP
39	#org0	#per272	Undirected	2.0794415416798357	ZEP
40	#per627	#pla84	Undirected	2.0794415416798357	ZEP
41	#per627	#per648	Undirected	0.0	ZEP
42	#org0	#tim13	Undirected	0.0	ZEP
43	#org137	#per627	Undirected	0.0	ZEP
44	#org0	#tim2	Undirected	5.375278407684165	ZEP
45	#org0	#org103	Undirected	0.0	ZEP
46	#org0	#pla41	Undirected	6.238324625039507	ZEP
47	#org39	#per5	Undirected	0.0	ZEP
48	#org0	#per651	Undirected	0.0	ZEP
49	#org122	#pla161	Undirected	0.0	ZEP
50	#per648	#pla2	Undirected	0.0	ZEP
51	#org0	#pla84	Undirected	2.0794415416798357	ZEP
52	#per627	#tim13	Undirected	0.0	ZEP
53	#per14	#per649	Undirected	0.0	ZEP
54	#per649	#pla2	Undirected	0.0	ZEP
55	#org63	#per14	Undirected	0.0	ZEP
56	#per14	#pla18	Undirected	2.0794415416798357	ZEP
57	#per5	#pla267	Undirected	0.0	ZEP
58	#per627	#pla41	Undirected	6.238324625039507	ZEP
59	#per73	#pla2	Undirected	0.0	ZEP
60	#org14	#pla2	Undirected	0.0	ZEP
61	#per14	#pla3	Undirected	4.1588830833596715	ZEP
62	#per14	#wor1	Undirected	0.0	ZEP
63	#per14	#pla0	Undirected	0.0	ZEP
64	#org39	#pla267	Undirected	0.0	ZEP
65	#per272	#per627	Undirected	2.0794415416798357	ZEP
66	#org70	#pla41	Undirected	2.0794415416798357	ZEP
67	#per14	#per74	Undirected	0.0	ZEP
68	#org101	#pla4	Undirected	0.0	ZEP
69	#per14	#per627	Undirected	11.910875740656365	ZEP
70	#per5	#per627	Undirected	0.0	ZEP
71	#org0	#per14	Undirected	11.910875740656365	ZEP
72	#per646	#per649	Undirected	0.0	ZEP
73	#per646	#per73	Undirected	0.0	ZEP
74	#org0	#pla300	Undirected	0.0	ZEP
75	#per627	#pla301	Undirected	0.0	ZEP
76	#org14	#pla3	Undirected	0.0	ZEP
77	#org101	#per14	Undirected	2.0794415416798357	ZEP
78	#org14	#org39	Undirected	0.0	ZEP
79	#org0	#pla153	Undirected	0.0	ZEP
80	#org14	#wor1	Undirected	0.0	ZEP
81	#per647	#per74	Undirected	0.0	ZEP
82	#org0	#org16	Undirected	0.0	ZEP
83	#per627	#per647	Undirected	0.0	ZEP
84	#per1	#per627	Undirected	0.0	ZEP
85	#pla3	#pla4	Undirected	0.0	ZEP
86	#per648	#per74	Undirected	0.0	ZEP
87	#org0	#pla301	Undirected	0.0	ZEP
88	#org0	#pla16	Undirected	0.0	ZEP
89	#org82	#pla16	Undirected	0.0	ZEP
90	#per627	#pla161	Undirected	2.0794415416798357	ZEP
91	#org100	#per627	Undirected	3.295836866004329	ZEP
92	#org70	#per627	Undirected	7.4547199493640015	ZEP
93	#org0	#pla20	Undirected	3.295836866004329	ZEP
94	#per14	#pla2	Undirected	2.0794415416798357	ZEP
95	#org14	#per14	Undirected	2.0794415416798357	ZEP
96	#per627	#pla90	Undirected	0.0	ZEP
97	#per627	#pla18	Undirected	2.0794415416798357	ZEP
98	#org137	#per14	Undirected	0.0	ZEP
99	#org4	#per627	Undirected	0.0	ZEP
100	#per14	#pla161	Undirected	2.0794415416798357	ZEP
101	#per5	#pla84	Undirected	0.0	ZEP
102	#org18	#per627	Undirected	3.295836866004329	ZEP
103	#per627	#per74	Undirected	0.0	ZEP
104	#per648	#per73	Undirected	0.0	ZEP
105	#per627	#pla4	Undirected	4.828313737302301	ZEP
106	#org0	#org82	Undirected	2.0794415416798357	ZEP
107	#org70	#per650	Undirected	0.0	ZEP
108	#org0	#per5	Undirected	0.0	ZEP
109	#pla0	#tim2	Undirected	0.0	ZEP
110	#org63	#per627	Undirected	0.0	ZEP
111	#org137	#pla84	Undirected	0.0	ZEP
112	#org100	#org16	Undirected	0.0	ZEP
113	#pla18	#pla41	Undirected	0.0	ZEP
114	#per627	#pla153	Undirected	0.0	ZEP
115	#org0	#pla81	Undirected	0.0	ZEP
116	#per627	#per73	Undirected	0.0	ZEP
117	#per627	#per651	Undirected	0.0	ZEP
118	#org0	#org19	Undirected	0.0	ZEP
119	#org70	#pla4	Undirected	2.0794415416798357	ZEP
120	#org0	#per646	Undirected	0.0	ZEP
121	#org0	#org63	Undirected	0.0	ZEP
122	#org18	#pla41	Undirected	0.0	ZEP
123	#per272	#pla16	Undirected	0.0	ZEP
124	#org53	#per627	Undirected	0.0	ZEP
125	#per627	#pla300	Undirected	0.0	ZEP
126	#per627	#pla3	Undirected	4.1588830833596715	ZEP
127	#per272	#pla4	Undirected	2.0794415416798357	ZEP
128	#org19	#pla41	Undirected	0.0	ZEP
129	#org0	#pla267	Undirected	2.0794415416798357	ZEP
130	#per14	#pla90	Undirected	0.0	ZEP
131	#per14	#per73	Undirected	0.0	ZEP
132	#org0	#per650	Undirected	0.0	ZEP
133	#org0	#per647	Undirected	0.0	ZEP
134	#pla2	#pla3	Undirected	0.0	ZEP
135	#org4	#per14	Undirected	0.0	ZEP
136	#org103	#per14	Undirected	0.0	ZEP
137	#org39	#per14	Undirected	2.0794415416798357	ZEP
138	#per650	#pla2	Undirected	0.0	ZEP
139	#per14	#pla268	Undirected	0.0	ZEP
140	#org82	#per272	Undirected	2.0794415416798357	ZEP
141	#per14	#tim2	Undirected	5.375278407684165	ZEP
142	#per649	#per74	Undirected	0.0	ZEP
143	#per627	#per650	Undirected	0.0	ZEP
144	#per14	#per648	Undirected	0.0	ZEP
145	#org82	#per627	Undirected	2.0794415416798357	ZEP
146	#org0	#pla2	Undirected	2.0794415416798357	ZEP
147	#org137	#org53	Undirected	0.0	ZEP
148	#per647	#per649	Undirected	0.0	ZEP
149	#org0	#per74	Undirected	0.0	ZEP
150	#per647	#per73	Undirected	0.0	ZEP
151	#pla269	#pla81	Undirected	0.0	ZEP
152	#per647	#per648	Undirected	0.0	ZEP
153	#org0	#pla269	Undirected	0.0	ZEP
154	#org0	#org70	Undirected	7.4547199493640015	ZEP
155	#org14	#per650	Undirected	0.0	ZEP
156	#org0	#org18	Undirected	3.295836866004329	ZEP
157	#per73	#per74	Undirected	0.0	ZEP
158	#org39	#pla84	Undirected	0.0	ZEP
159	#org0	#org100	Undirected	3.295836866004329	ZEP
160	#per14	#per647	Undirected	0.0	ZEP
161	#org0	#wor1	Undirected	0.0	ZEP
162	#per651	#pla18	Undirected	0.0	ZEP
163	#pla20	#pla90	Undirected	0.0	ZEP
164	#org119	#pla161	Undirected	0.0	ZEP
165	#per649	#per73	Undirected	0.0	ZEP
166	#org0	#per627	Undirected	11.910875740656365	ZEP
167	#org0	#pla17	Undirected	0.0	ZEP
168	#org0	#org39	Undirected	2.0794415416798357	ZEP
169	#org19	#pla18	Undirected	0.0	ZEP
170	#pla268	#pla81	Undirected	0.0	ZEP
171	#pla4	#pla72	Undirected	0.0	ZEP
172	#pla17	#pla4	Undirected	0.0	ZEP
173	#per14	#pla300	Undirected	0.0	ZEP
174	#org103	#per627	Undirected	0.0	ZEP
175	#org39	#pla3	Undirected	0.0	ZEP
176	#org16	#per627	Undirected	0.0	ZEP
177	#org101	#pla41	Undirected	0.0	ZEP
178	#org53	#per14	Undirected	0.0	ZEP
179	#pla41	#tim2	Undirected	2.0794415416798357	ZEP
180	#org14	#org70	Undirected	0.0	ZEP
181	#per646	#per647	Undirected	0.0	ZEP
182	#per627	#pla20	Undirected	3.295836866004329	ZEP
183	#per647	#pla2	Undirected	0.0	ZEP
184	#org0	#pla72	Undirected	3.295836866004329	ZEP
185	#pla16	#pla17	Undirected	0.0	ZEP
186	#per14	#pla301	Undirected	0.0	ZEP
187	#org70	#pla3	Undirected	3.295836866004329	ZEP
188	#org70	#per14	Undirected	7.4547199493640015	ZEP
189	#org4	#per651	Undirected	0.0	ZEP
190	#org16	#tim13	Undirected	0.0	ZEP
191	#org119	#per14	Undirected	0.0	ZEP
192	#per14	#per272	Undirected	2.0794415416798357	ZEP
193	#per627	#pla17	Undirected	0.0	ZEP
194	#org0	#org4	Undirected	0.0	ZEP
195	#org53	#pla84	Undirected	0.0	ZEP
196	#org14	#per627	Undirected	2.0794415416798357	ZEP
197	#org39	#per650	Undirected	0.0	ZEP
198	#per627	#pla2	Undirected	2.0794415416798357	ZEP
199	#org0	#per1	Undirected	0.0	ZEP
200	#org19	#per627	Undirected	0.0	ZEP
201	#org19	#per14	Undirected	0.0	ZEP
202	#org4	#pla18	Undirected	0.0	ZEP
203	#per14	#pla20	Undirected	3.295836866004329	ZEP
204	#per14	#pla41	Undirected	6.238324625039507	ZEP
205	#per14	#pla153	Undirected	0.0	ZEP
206	#per14	#per651	Undirected	0.0	ZEP
207	#per627	#wor1	Undirected	0.0	ZEP
208	#org0	#pla90	Undirected	0.0	ZEP
209	#per14	#pla84	Undirected	2.0794415416798357	ZEP
210	#per14	#tim13	Undirected	0.0	ZEP
211	#org0	#org101	Undirected	2.0794415416798357	ZEP
212	#per627	#per646	Undirected	0.0	ZEP
213	#per14	#per5	Undirected	0.0	ZEP
214	#per1	#tim18	Undirected	0.0	ZEP
215	#per14	#tim18	Undirected	0.0	ZEP
216	#org39	#pla2	Undirected	0.0	ZEP
217	#org119	#per627	Undirected	0.0	ZEP
218	#org0	#org122	Undirected	0.0	ZEP
219	#per14	#pla81	Undirected	0.0	ZEP
220	#org0	#pla268	Undirected	0.0	ZEP
221	#pla267	#pla81	Undirected	0.0	ZEP
222	#per14	#per646	Undirected	0.0	ZEP
223	#org82	#pla17	Undirected	0.0	ZEP
224	#pla16	#pla4	Undirected	0.0	ZEP
225	#org0	#pla4	Undirected	4.828313737302301	ZEP
226	#org39	#org70	Undirected	0.0	ZEP
227	#org0	#pla0	Undirected	0.0	ZEP
228	#org100	#tim13	Undirected	0.0	ZEP
229	#per74	#pla2	Undirected	0.0	ZEP
230	#org18	#per14	Undirected	3.295836866004329	ZEP
231	#per627	#pla81	Undirected	0.0	ZEP
232	#org18	#per1	Undirected	0.0	ZEP
233	#per14	#pla72	Undirected	3.295836866004329	ZEP
234	#per14	#per650	Undirected	0.0	ZEP
235	#per627	#per649	Undirected	0.0	ZEP
236	#org70	#pla2	Undirected	0.0	ZEP
237	#org39	#per627	Undirected	2.0794415416798357	ZEP
238	#org18	#org70	Undirected	0.0	ZEP
239	#per627	#pla0	Undirected	0.0	ZEP
240	#org0	#pla3	Undirected	4.1588830833596715	ZEP
241	#per646	#pla2	Undirected	0.0	ZEP
242	#org0	#pla161	Undirected	2.0794415416798357	ZEP
243	#org101	#per627	Undirected	2.0794415416798357	ZEP
244	#org16	#per14	Undirected	0.0	ZEP
245	#per14	#pla269	Undirected	0.0	ZEP
246	#org0	#per649	Undirected	0.0	ZEP
247	#org0	#pla18	Undirected	2.0794415416798357	ZEP
248	#org0	#per648	Undirected	0.0	ZEP
249	#pla267	#pla269	Undirected	0.0	ZEP
250	#per1	#per14	Undirected	0.0	ZEP
251	#pla267	#pla268	Undirected	0.0	ZEP
